time,v,omega
1627303474.7412524,0.0,0.0
1627303474.761483,0.0,0.0
1627303474.8120315,0.0,0.0
1627303474.845381,0.0,0.0
1627303474.8954968,0.0,0.0
1627303474.916426,0.0,0.0
1627303474.9673529,0.0,0.0
1627303475.0243845,0.0,0.0
1627303475.040084,0.0,0.0
1627303475.0906537,0.0,0.0
1627303475.1061175,0.0,0.0
1627303475.157034,0.0,0.0
1627303475.1845016,0.0,0.0
1627303475.236848,0.0,0.0
1627303475.2825375,0.0,0.0
1627303475.298059,0.0,0.0
1627303475.360824,0.0,0.0
1627303475.3817835,0.0,0.0
1627303475.4324758,0.0,0.0
1627303475.457705,0.0,0.0
1627303475.5111763,0.0,0.0
1627303475.5587842,0.0,0.0
1627303475.5738425,0.0,0.0
1627303475.6262429,0.0,0.0
1627303475.6425376,0.0,0.0
1627303475.6928906,0.0,0.0
1627303475.7403426,0.0,0.0
1627303475.7552516,0.0,0.0
1627303475.805898,0.0,0.0
1627303475.821878,0.0,0.0
1627303475.872235,0.0,0.0
1627303475.9153185,0.0,0.0
1627303475.966603,0.0,0.0
1627303475.9933324,0.0,0.0
1627303476.0455773,0.0,0.0
1627303476.0922067,0.0,0.0
1627303476.1117535,0.0,0.0
1627303476.163175,0.0,0.0
1627303476.1838107,0.0,0.0
1627303476.2379386,0.0,0.0
1627303476.285061,0.0,0.0
1627303476.3009923,0.0,0.0
1627303476.3551507,0.0,0.0
1627303476.3712595,0.0,0.0
1627303476.4232488,0.0,0.0
1627303476.471704,0.0,0.0
1627303476.5225654,0.0,0.0
1627303476.5701067,0.0,0.0
1627303476.6223645,0.0,0.0
1627303476.6697617,0.0,0.0
1627303476.68461,0.0,0.0
1627303476.7355127,0.0,0.0
1627303476.7519214,0.0,0.0
1627303476.8036458,0.0,0.0
1627303476.8488462,0.0,0.0
1627303476.8994827,0.0,0.0
1627303476.943946,0.0,0.0
1627303476.9592798,0.0,0.0
1627303477.0104942,0.0,0.0
1627303477.0305808,0.0,0.0
1627303477.0765646,0.0,0.0
1627303477.1534915,0.0,0.0
1627303477.1794343,0.0,0.0
1627303477.230078,0.0,0.0
1627303477.2553585,0.0,0.0
1627303477.2990239,0.0,0.0
1627303477.3464904,0.0,0.0
1627303477.3665073,0.0,0.0
1627303477.416931,0.0,0.0
1627303477.4421766,0.0,0.0
1627303477.4928553,0.0,0.0
1627303477.538108,0.0,0.0
1627303477.5535514,0.0,0.0
1627303477.6044943,0.0,0.0
1627303477.6240532,0.0,0.0
1627303477.6736193,0.0,0.0
1627303477.7205288,0.0,0.0
1627303477.7706375,0.0,0.0
1627303477.8159022,0.0,0.0
1627303477.8668623,0.0,0.0
1627303477.9119787,0.0,0.0
1627303477.9319122,0.0,0.0
1627303477.977424,0.0,0.0
1627303477.997769,0.0,0.0
1627303478.0489583,0.0,0.0
1627303478.0795672,0.0,0.0
1627303478.130292,0.0,0.0
1627303478.1554794,0.0,0.0
1627303478.2065742,0.0,0.0
1627303478.2512655,0.0,0.0
1627303478.301711,0.0,0.0
1627303478.349916,0.0,0.0
1627303478.3698645,0.0,0.0
1627303478.414889,0.0,0.0
1627303478.430055,0.0,0.0
1627303478.480477,0.0,0.0
1627303478.5220425,0.0,0.0
1627303478.5723393,0.0,0.0
1627303478.5977051,0.0,0.0
1627303478.648896,0.0,0.0
1627303478.6934214,0.0,0.0
1627303478.7083168,0.0,0.0
1627303478.7580554,0.0,0.0
1627303478.7965434,0.0,0.0
1627303478.8463438,0.0,0.0
1627303478.8910859,0.0,0.0
1627303478.911407,0.0,0.0
1627303478.9571416,0.0,0.0
1627303478.9783208,0.0,0.0
1627303479.0288885,0.0,0.0
1627303479.0745034,0.0,0.0
1627303479.090033,0.0,0.0
1627303479.1410847,0.0,0.0
1627303479.1618867,0.0,0.0
1627303479.2131362,0.0,0.0
1627303479.2582676,0.0,0.0
1627303479.3096242,0.0,0.0
1627303479.3573127,0.0,0.0
1627303479.4096055,0.0,0.0
1627303479.4551044,0.0,0.0
1627303479.5058875,0.0,0.0
1627303479.5515501,0.0,0.0
1627303479.5719361,0.0,0.0
1627303479.6168976,0.0,0.0
1627303479.6315653,0.0,0.0
1627303479.6802614,0.0,0.0
1627303479.724281,0.0,0.0
1627303479.7460759,0.0,0.0
1627303479.7877629,0.0,0.0
1627303479.807706,0.0,0.0
1627303479.85594,0.0,0.0
1627303479.9001343,0.0,0.0
1627303479.9487278,0.0,0.0
1627303479.9941175,0.0,0.0
1627303480.012686,0.0,0.0
1627303480.0594022,0.0,0.0
1627303480.1032536,0.0,0.0
1627303480.1518285,0.0,0.0
1627303480.1948757,0.0,0.0
1627303480.2176623,0.0,0.0
1627303480.2599602,0.0,0.0
1627303480.2848816,0.0,0.0
1627303480.3357477,0.0,0.0
1627303480.379919,0.0,0.0
1627303480.429448,0.0,0.0
1627303480.4729462,0.0,0.0
1627303480.4883392,0.0,0.0
1627303480.5376432,0.0,0.0
1627303480.5778472,0.0,0.0
1627303480.6268747,0.0,0.0
1627303480.6707652,0.0,0.0
1627303480.6858275,0.0,0.0
1627303480.7346299,0.0,0.0
1627303480.7545087,0.0,0.0
1627303480.8029654,0.0,0.0
1627303480.8464112,0.0,0.0
1627303480.868128,0.0,0.0
1627303480.915695,0.0,0.0
1627303480.9369533,0.0,0.0
1627303480.9841127,0.0,0.0
1627303481.0330637,0.0,0.0
1627303481.081765,0.0,0.0
1627303481.1022503,0.0,0.0
1627303481.1512525,0.0,0.0
1627303481.1760828,0.0,0.0
1627303481.2261703,0.0,0.0
1627303481.271657,0.0,0.0
1627303481.2866435,0.0,0.0
1627303481.339696,0.0,0.0
1627303481.3590043,0.0,0.0
1627303481.407548,0.0,0.0
1627303481.4438162,0.0,0.0
1627303481.5288115,0.0,0.0
1627303481.5691814,0.0,0.0
1627303481.6196067,0.0,0.0
1627303481.6492422,0.0,0.0
1627303481.6996524,0.0,0.0
1627303481.720825,0.0,0.0
1627303481.7699208,0.0,0.0
1627303481.7949128,0.0,0.0
1627303481.8437088,0.0,0.0
1627303481.887115,0.0,0.0
1627303481.9352398,0.0,0.0
1627303481.978787,0.0,0.0
1627303481.9984472,0.0,0.0
1627303482.0480945,0.0,0.0
1627303482.0630133,0.0,0.0
1627303482.111809,0.0,0.0
1627303482.156349,0.0,0.0
1627303482.1717453,0.0,0.0
1627303482.2213995,0.0,0.0
1627303482.2510223,0.0,0.0
1627303482.331764,0.0,0.0
1627303482.3734243,0.0,0.0
1627303482.424318,0.0,0.0
1627303482.449215,0.0,0.0
1627303482.497889,0.0,0.0
1627303482.54327,0.0,0.0
1627303482.5581007,0.0,0.0
1627303482.6064374,0.0,0.0
1627303482.6317084,0.0,0.0
