time,v,omega
1627480257.8966236,0.0,0.0
1627480261.391774,-0.0,0.0
1627480261.4416597,-0.0,0.0
1627480261.4917696,-0.0,0.0
1627480261.541895,-0.0,0.0
1627480261.5919359,-0.0,0.0
1627480261.642163,-0.0,0.0
1627480261.6920898,-0.0,0.0
1627480261.7422361,-0.0,0.0
1627480261.792322,-0.0,0.0
1627480261.8327615,-0.0,0.0
1627480261.8646886,-0.0,0.0
1627480261.872622,-0.0,0.0
1627480261.8806076,-0.0,-0.0
1627480261.8887184,-0.0,-0.0
1627480261.8966317,-0.0,-0.0
1627480261.904691,-0.0,-0.0
1627480261.920682,-0.0,-0.0
1627480261.936696,-0.0,-0.0
1627480261.9446402,-0.0,-0.0
1627480261.9687276,-0.0,-0.0
1627480262.0006557,-0.0,-0.0
1627480262.0487485,-0.0,-0.0
1627480262.072653,-0.0,-0.0
1627480262.088864,-0.0,-0.0
1627480262.0966425,-0.0,-0.0
1627480262.1046803,-0.0,-0.0
1627480262.1126585,-0.0,-0.0
1627480262.1367075,-0.0,-0.0
1627480262.144622,-0.0,-0.0
1627480262.168673,-0.0,0.03643779251724482
1627480262.1766834,-0.0,0.07469492331147194
1627480262.1926203,-0.0,0.11300872787833215
1627480262.2086434,-0.0,0.15132254213094712
1627480262.2326732,-0.0,0.20873657763004302
1627480262.2566113,-0.0,0.24705038219690323
1627480262.2887685,-0.0,0.28530752509832386
1627480262.336707,-0.0,0.32362132966518403
1627480262.3526995,-0.0,0.36193515360355377
1627480262.3686502,-0.0,0.41934916973114017
1627480262.3846755,-0.0,0.4576629936695099
1627480262.3926728,-0.0,0.4959200978279114
1627480262.4087093,-0.0,0.5342339217662812
1627480262.4167523,-0.0,0.572547745704651
1627480262.4246626,-0.0,0.6299617618322373
1627480262.4566991,-0.0,0.668275547027588
1627480262.472663,-0.0,0.7065327286720277
1627480262.4886332,-0.0,0.7448464751243592
1627480262.5206795,-0.0,0.7831602990627289
1627480262.552837,-0.0,0.8405743539333344
1627480262.5846941,-0.0,0.8788881778717041
1627480262.5926647,-0.0,0.9171452820301056
1627480262.6086,-0.0,0.9554591059684754
1627480262.6406646,-0.0,0.9937162101268768
1627480262.6887815,-0.0,1.0511869847774507
1627480262.7047095,-0.0,1.0895007312297822
1627480262.712609,-0.0,1.127757912874222
1627480262.728648,-0.0,1.1660717368125917
1627480262.7787533,-0.0,1.1660717368125917
1627480262.8007333,-0.0,1.2043288409709931
1627480262.8247101,-0.0,1.2617995381355287
1627480262.8567538,-0.0,1.3
1627480262.872718,-0.0,1.3
1627480262.9126792,-0.0,1.3
1627480262.9626915,-0.0,1.3
1627480263.0127897,-0.0,1.3
1627480263.0628326,-0.0,1.3
1627480263.113719,-0.0,1.3
1627480263.163048,-0.0,1.3
1627480263.2131064,-0.0,1.3
1627480263.2632053,-0.0,1.3
1627480263.3133438,-0.0,1.3
1627480263.363374,-0.0,1.3
1627480263.4134798,-0.0,1.3
1627480263.4636176,-0.0,1.3
1627480263.513735,-0.0,1.3
1627480263.544708,-0.0,1.3
1627480263.568727,-0.0,1.3
1627480263.5845816,-0.0,1.3
1627480263.6006851,-0.0,1.3
1627480263.6086571,0.013292990624904633,1.3
1627480263.6246266,0.04276515170931816,1.3
1627480263.6328356,0.07219371199607849,1.3
1627480263.640675,0.10166587680578232,1.3
1627480263.6486008,0.16056659817695618,1.3
1627480263.6572168,0.1900387555360794,1.3
1627480263.706828,0.1900387555360794,1.3
1627480263.75687,0.1900387555360794,1.3
1627480263.806942,0.1900387555360794,1.3
1627480263.8570642,0.1900387555360794,1.3
1627480263.8890479,0.07219371199607849,1.3
1627480263.8966634,0.04276515170931816,1.3
1627480263.907068,0.04276515170931816,1.2617995381355287
1627480263.9130213,-0.0,1.2617995381355287
1627480263.9205956,-0.0,1.2043288409709931
1627480263.9286344,-0.0,1.1660717368125917
1627480263.9356542,0.0,0.0
1627480264.8075802,-0.0,-0.0
1627480264.8407109,-0.0,-0.0
1627480264.848618,-0.0,-0.0
1627480264.856752,-0.0,-0.0
1627480264.8646927,-0.0,-0.0
1627480264.8726716,-0.0,-0.0
1627480264.880587,-0.0,-0.0
1627480264.888717,-0.0,-0.0
1627480264.896615,-0.0,-0.0
1627480264.904736,-0.0,-0.0
1627480264.912649,0.13109444081783295,-0.0
1627480264.9206014,0.1900387555360794,-0.0
1627480264.928667,0.24893948435783386,-0.0
1627480264.936656,0.32257628440856934,-0.0
1627480264.9446526,0.410949170589447,-0.0
1627480264.9525836,0.44042134284973145,-0.0
1627480264.960667,0.4698498845100403,-0.0
1627480264.9686737,0.5287505984306335,-0.0
1627480264.9767287,0.558222770690918,-0.0
1627480264.9846501,0.5876949429512024,-0.0
1627480264.9926646,0.6465956568717957,-0.0
1627480265.002502,0.6760678291320801,-0.0
1627480265.008665,0.7054963707923889,-0.0
1627480265.0167015,0.7349685430526733,-0.0
1627480265.0245938,0.7643970847129822,-0.0
1627480265.064638,0.8086053729057312,-0.0
1627480265.1147523,0.8086053729057312,-0.0
1627480265.1648684,0.8086053729057312,-0.0
1627480265.214938,0.8086053729057312,-0.0
1627480265.2650692,0.8086053729057312,-0.0
1627480265.3126342,0.8380774855613708,-0.0
1627480265.3628068,0.8380774855613708,-0.0
1627480265.3766875,0.8380774855613708,-0.0
1627480265.3927705,0.8380774855613708,-0.0
1627480265.4086545,0.8380774855613708,-0.0
1627480265.4246712,0.8380774855613708,-0.0
1627480265.4327064,0.8380774855613708,-0.0
1627480265.4406776,0.8380774855613708,-0.0
1627480265.4486334,0.8380774855613708,-0.0
1627480265.456746,0.8380774855613708,-0.0
1627480265.4646637,0.8380774855613708,-0.0
1627480265.472676,0.8380774855613708,-0.0
1627480265.4806292,0.8380774855613708,-0.0
1627480265.4897518,0.8380774855613708,-0.0
1627480265.4966815,0.8380774855613708,-0.0
1627480265.5045807,0.8380774855613708,0.03643779251724482
1627480265.5126276,0.8380774855613708,0.07469492331147194
1627480265.5206606,0.8380774855613708,0.15132254213094712
1627480265.5286443,0.8380774855613708,0.20873657763004302
1627480265.5366478,0.8380774855613708,0.28530752509832386
1627480265.5446448,0.8380774855613708,0.32362132966518403
1627480265.5526109,0.8380774855613708,0.36193515360355377
1627480265.560698,0.8380774855613708,0.41934916973114017
1627480265.5687528,0.8380774855613708,0.4576629936695099
1627480265.5766532,0.8380774855613708,0.4959200978279114
1627480265.584613,0.8380774855613708,0.5342339217662812
1627480265.5925927,0.8380774855613708,0.572547745704651
1627480265.6007032,0.8380774855613708,0.6299617618322373
1627480265.6486804,0.8380774855613708,0.668275547027588
1627480265.6967134,0.8380774855613708,0.7065327286720277
1627480265.746698,0.8380774855613708,0.7065327286720277
1627480265.7607498,0.8380774855613708,0.7448464751243592
1627480265.7846866,0.7349685430526733,0.7448464751243592
1627480265.8087099,0.7349685430526733,0.7831602990627289
1627480265.8166149,0.7054963707923889,0.7831602990627289
1627480265.8326497,0.7054963707923889,0.8405743539333344
1627480265.8566954,0.6760678291320801,0.8405743539333344
1627480265.9067442,0.6760678291320801,0.8405743539333344
1627480265.9568436,0.6760678291320801,0.8405743539333344
1627480266.0068998,0.6760678291320801,0.8405743539333344
1627480266.0569935,0.6760678291320801,0.8405743539333344
1627480266.0967696,0.6760678291320801,0.7065327286720277
1627480266.1206849,0.6760678291320801,0.668275547027588
1627480266.1286697,0.6760678291320801,0.6299617618322373
1627480266.1366193,0.6760678291320801,0.572547745704651
1627480266.144664,0.6760678291320801,0.5342339217662812
1627480266.1525953,0.6760678291320801,0.4959200978279114
1627480266.160632,0.6760678291320801,0.4576629936695099
1627480266.1687427,0.6760678291320801,0.41934916973114017
1627480266.1766484,0.6760678291320801,0.36193515360355377
1627480266.1864939,0.6760678291320801,0.32362132966518403
1627480266.1926448,0.6465956568717957,0.28530752509832386
1627480266.200712,0.6465956568717957,0.24705038219690323
1627480266.2086384,0.6465956568717957,0.20873657763004302
1627480266.2166176,0.6465956568717957,0.15132254213094712
1627480266.2246313,0.6465956568717957,0.11300872787833215
1627480266.2326837,0.6465956568717957,0.07469492331147194
1627480266.240718,0.6171234846115112,-0.0
1627480266.2486384,0.6171234846115112,-0.0
1627480266.2647138,0.6171234846115112,-0.0
1627480266.2727087,0.6171234846115112,-0.0
1627480266.288665,0.6171234846115112,-0.0
1627480266.2968342,0.6171234846115112,-0.0
1627480266.3046172,0.6171234846115112,-0.0
1627480266.3126326,0.6171234846115112,-0.0
1627480266.3206854,0.6171234846115112,-0.0
1627480266.3448114,0.5876949429512024,-0.0
1627480266.3526459,0.558222770690918,-0.0
1627480266.3605905,0.558222770690918,-0.0
1627480266.3686364,0.558222770690918,-0.0
1627480266.384756,0.558222770690918,-0.0
1627480266.3927057,0.5287505984306335,-0.0
1627480266.4006612,0.4993220567703247,-0.0
1627480266.409098,0.4993220567703247,-0.0
1627480266.4246607,0.4698498845100403,-0.0
1627480266.448749,0.44042134284973145,-0.0
1627480266.4806724,0.410949170589447,-0.0
1627480266.5046484,0.3814769983291626,-0.0
1627480266.5126293,0.35204845666885376,-0.0
1627480266.5526586,0.32257628440856934,-0.0
1627480266.6027687,0.32257628440856934,-0.0
1627480266.6529186,0.32257628440856934,-0.0
1627480266.7074718,0.32257628440856934,-0.0
1627480266.7530465,0.32257628440856934,-0.0
1627480266.8031445,0.32257628440856934,-0.0
1627480266.8532312,0.32257628440856934,-0.0
1627480266.8887012,0.44042134284973145,-0.0
1627480266.9387708,0.44042134284973145,-0.0
1627480266.9888008,0.44042134284973145,-0.0
1627480267.0388958,0.44042134284973145,-0.0
1627480267.0406868,0.44042134284973145,-0.0
1627480267.0647073,0.44042134284973145,-0.0
1627480267.0725908,0.44042134284973145,-0.0
1627480267.088716,0.44042134284973145,-0.0
1627480267.0966034,0.44042134284973145,-0.0
1627480267.1047752,0.44042134284973145,-0.0
1627480267.1126418,0.44042134284973145,-0.0
1627480267.1207798,0.44042134284973145,-0.0
1627480267.1287222,0.44042134284973145,-0.0
1627480267.136679,0.44042134284973145,-0.0
1627480267.1446285,0.44042134284973145,-0.0
1627480267.152741,0.44042134284973145,-0.0
1627480267.1607337,0.44042134284973145,0.03643779251724482
1627480267.1686244,0.44042134284973145,0.07469492331147194
1627480267.1767364,0.44042134284973145,0.11300872787833215
1627480267.1848097,0.44042134284973145,0.15132254213094712
1627480267.2006233,0.4698498845100403,0.15132254213094712
1627480267.2086565,0.4698498845100403,0.20873657763004302
1627480267.2326841,0.4698498845100403,0.24705038219690323
1627480267.2646835,0.4698498845100403,0.28530752509832386
1627480267.2806547,0.4993220567703247,0.28530752509832386
1627480267.3307734,0.4993220567703247,0.28530752509832386
1627480267.380892,0.4993220567703247,0.28530752509832386
1627480267.4246702,0.4993220567703247,0.32362132966518403
1627480267.4566722,0.4993220567703247,0.36193515360355377
1627480267.4966373,0.4993220567703247,0.41934916973114017
1627480267.520643,0.4993220567703247,0.4576629936695099
