time,v,omega
1627304699.2335868,0.0,0.0
1627304699.2709336,0.0,0.0
1627304699.3186243,0.0,0.0
1627304699.34746,0.0,0.0
1627304699.396177,0.0,0.0
1627304699.4208798,0.0,0.0
1627304699.4703538,0.0,0.0
1627304699.5145092,0.0,0.0
1627304699.543863,0.0,0.0
1627304699.590595,0.0,0.0
1627304699.6100237,0.0,0.0
1627304699.65809,0.0,0.0
1627304699.6829295,0.0,0.0
1627304699.7313688,0.0,0.0
1627304699.7782977,0.0,0.0
1627304699.797948,0.0,0.0
1627304699.8423655,0.0,0.0
1627304699.8621895,0.0,0.0
1627304699.905885,0.0,0.0
1627304699.9600332,0.0,0.0
1627304699.9786663,0.0,0.0
1627304700.0212126,0.0,0.0
1627304700.0585024,0.0,0.0
1627304700.1033187,0.0,0.0
1627304700.1523185,0.0,0.0
1627304700.171653,0.0,0.0
1627304700.2155468,0.0,0.0
1627304700.2407138,0.0,0.0
1627304700.2841463,0.0,0.0
1627304700.3380165,0.0,0.0
1627304700.3581424,0.0,0.0
1627304700.4028916,0.0,0.0
1627304700.4439225,0.0,0.0
1627304700.4877422,0.0,0.0
1627304700.517979,0.0,0.0
1627304700.5651348,0.0,0.0
1627304700.610612,0.0,0.0
1627304700.6544073,0.0,0.0
1627304700.6794703,0.0,0.0
1627304700.7244718,0.0,0.0
1627304700.748936,0.0,0.0
1627304700.794352,0.0,0.0
1627304700.843051,0.0,0.0
1627304700.8631136,0.0,0.0
1627304700.9083292,0.0,0.0
1627304700.946364,0.0,0.0
1627304700.994868,0.0,0.0
1627304701.0384643,0.0,0.0
1627304701.063312,0.0,0.0
1627304701.1127293,0.0,0.0
1627304701.1274924,0.0,0.0
1627304701.171371,0.0,0.0
1627304701.2222948,0.0,0.0
1627304701.2692018,0.0,0.0
1627304701.2879188,0.0,0.0
1627304701.3316545,0.0,0.0
1627304701.3775258,0.0,0.0
1627304701.4266465,0.0,0.0
1627304701.4521582,0.0,0.0
1627304701.5000775,0.0,0.0
1627304701.5487354,0.0,0.0
1627304701.5680356,0.0,0.0
1627304701.6161067,0.0,0.0
1627304701.6622088,0.0,0.0
1627304701.7083788,0.0,0.0
1627304701.7385073,0.0,0.0
1627304701.7849157,0.0,0.0
1627304701.833873,0.0,0.0
1627304701.848543,0.0,0.0
1627304701.8928454,0.0,0.0
1627304701.9411125,0.0,0.0
1627304701.9563153,0.0,0.0
1627304702.0017757,0.0,0.0
1627304702.0268342,0.0,0.0
1627304702.0718946,0.0,0.0
1627304702.1198716,0.0,0.0
1627304702.134802,0.0,0.0
1627304702.1798253,0.0,0.0
1627304702.2302651,0.0,0.0
1627304702.2756255,0.0,0.0
1627304702.30014,0.0,0.0
1627304702.3466825,0.0,0.0
1627304702.3702831,0.0,0.0
1627304702.4157887,0.0,0.0
1627304702.4638886,0.0,0.0
1627304702.482614,0.0,0.0
1627304702.5231705,0.0,0.0
1627304702.5727017,0.0,0.0
1627304702.5874388,0.0,0.0
1627304702.6344957,0.0,0.0
1627304702.6748335,0.0,0.0
1627304702.7177572,0.0,0.0
1627304702.7686088,0.0,0.0
1627304702.7837787,0.0,0.0
1627304702.8335226,0.0,0.0
1627304702.8744493,0.0,0.0
1627304702.9235744,0.0,0.0
1627304702.9480324,0.0,0.0
1627304702.9968977,0.0,0.0
1627304703.04237,0.0,0.0
1627304703.0570385,0.0,0.0
1627304703.1070905,0.0,0.0
1627304703.152234,0.0,0.0
1627304703.1724596,0.0,0.0
1627304703.2166562,0.0,0.0
1627304703.2367668,0.0,0.0
1627304703.2807765,0.0,0.0
1627304703.330373,0.0,0.0
1627304703.34535,0.0,0.0
1627304703.393973,0.0,0.0
1627304703.433852,0.0,0.0
1627304703.4836423,0.0,0.0
1627304703.5081663,0.0,0.0
1627304703.5572028,0.0,0.0
1627304703.603541,0.0,0.0
1627304703.6261938,0.0,0.0
1627304703.671465,0.0,0.0
1627304703.6918395,0.0,0.0
1627304703.735908,0.0,0.0
1627304703.784899,0.0,0.0
1627304703.8051124,0.0,0.0
1627304703.8504333,0.0,0.0
1627304703.8954332,0.0,0.0
1627304703.9455857,0.0,0.0
1627304703.9602196,0.0,0.0
1627304704.0069377,0.0,0.0
1627304704.0559497,0.0,0.0
1627304704.0710044,0.0,0.0
1627304704.1165328,0.0,0.0
1627304704.1659653,0.0,0.0
1627304704.1799643,0.0,0.0
1627304704.2243652,0.0,0.0
1627304704.2697492,0.0,0.0
1627304704.3145766,0.0,0.0
1627304704.3450122,0.0,0.0
1627304704.3889055,0.0,0.0
1627304704.4344447,0.0,0.0
1627304704.480016,0.0,0.0
1627304704.5083804,0.0,0.0
1627304704.552334,0.0,0.0
1627304704.6023161,0.0,0.0
1627304704.6214883,0.0,0.0
1627304704.6735334,0.0,0.0
1627304704.6934242,0.0,0.0
