time,v,omega
1627303132.3608754,0.0,0.0
1627303134.8155324,0.0,0.0
1627303134.8656216,0.0,0.0
1627303134.9157057,0.0,0.0
1627303134.9657621,0.0,0.0
1627303135.0166714,-0.0,0.0
1627303135.024603,-0.0,0.0
1627303135.0326686,-0.0,0.0
1627303135.0406554,-0.0,0.0
1627303135.0486467,-0.0,0.0
1627303135.0566578,-0.0,0.0
1627303135.064654,-0.0,0.0
1627303135.0726757,-0.0,0.0
1627303135.0806804,-0.0,0.0
1627303135.088675,-0.0,0.0
1627303135.0966642,-0.0,0.0
1627303135.1046395,0.057457633316516876,0.0
1627303135.1126971,0.11640195548534393,0.0
1627303135.1206553,0.23420339822769165,0.0
1627303135.128726,0.33731237053871155,0.0
1627303135.1366556,0.3667409420013428,0.0
1627303135.1446621,0.410949170589447,0.0
1627303135.1527023,0.4845859706401825,0.0
1627303135.1606624,0.5434867143630981,0.0
1627303135.168676,0.5876949429512024,0.0
1627303135.1766396,0.6171234846115112,0.0
1627303135.1846385,0.6613317131996155,0.0
1627303135.1926744,0.6907603144645691,0.0
1627303135.2006567,0.7202324867248535,0.0
1627303135.2086637,0.7938692569732666,0.0
1627303135.2166896,0.8969782590866089,0.0
1627303135.2245595,0.970615029335022,0.0
1627303135.2326007,1.0,0.0
1627303135.248646,1.0,-0.0
1627303135.2726068,1.0,-0.0
1627303135.288655,1.0,-0.0
1627303135.3045938,1.0,-0.0
1627303135.3206234,1.0,-0.0
1627303135.352607,1.0,-0.0
1627303135.3846343,1.0,-0.0
1627303135.4006133,1.0,-0.0
1627303135.4086196,1.0,-0.0
1627303135.4166026,1.0,-0.0
1627303135.4246483,1.0,-0.0
1627303135.4326122,1.0,-0.0
1627303135.4406686,1.0,0.09385182559490204
1627303135.448717,1.0,0.17042277306318285
1627303135.4566565,1.0,0.2662072941660881
1627303135.4645762,1.0,0.30446441769599913
1627303135.472652,1.0,0.438506081700325
1627303135.480652,1.0,0.553390833735466
1627303135.4886596,1.0,0.5916479378938675
1627303135.4966714,1.0,0.6873757779598236
1627303135.504673,1.0,0.7640034258365631
1627303135.5126436,1.0,0.8597312271595001
1627303135.5206938,1.0,0.8979884088039398
1627303135.5287025,1.0,0.9363022327423096
1627303135.5366743,1.0,0.9937162101268768
1627303135.5446925,1.0,1.1086009621620179
1627303135.552687,1.0,1.1660717368125917
1627303135.5606718,1.0,1.2043288409709931
1627303135.5686817,1.0,1.242642664909363
1627303135.5765884,1.0,1.2809564113616945
1627303135.5926692,1.0,1.3
1627303135.6427753,1.0,1.3
1627303135.6928718,1.0,1.3
1627303135.742969,1.0,1.3
1627303135.793047,1.0,1.3
1627303135.8431695,1.0,1.3
1627303135.8932579,1.0,1.3
1627303135.8967204,1.0,1.2809564113616945
1627303135.9468086,1.0,1.2809564113616945
1627303135.9687107,1.0,1.3
1627303136.018729,1.0,1.3
1627303136.0407,1.0,1.2809564113616945
1627303136.0567365,1.0,1.242642664909363
1627303136.0806105,1.0,1.2043288409709931
1627303136.088661,1.0,1.1660717368125917
1627303136.0966036,1.0,1.1086009621620179
1627303136.1046495,1.0,1.0703438580036164
1627303136.1126082,1.0,0.9937162101268768
1627303136.1206257,1.0,0.9363022327423096
1627303136.128692,1.0,0.8979884088039398
1627303136.1366198,1.0,0.8597312271595001
1627303136.1446652,1.0,0.8214174807071686
1627303136.1526697,1.0,0.7256896018981934
1627303136.1607556,1.0,0.6491186738014222
1627303136.1686518,1.0,0.5916479378938675
1627303136.176696,1.0,0.553390833735466
1627303136.1845875,1.0,0.5150770097970963
1627303136.1926649,1.0,0.47676322460174564
1627303136.2086885,1.0,0.438506081700325
1627303136.2247245,1.0,0.3810353457927704
1627303136.2748358,1.0,0.3810353457927704
1627303136.3126242,1.0,0.5150770097970963
1627303136.3626668,1.0,0.5150770097970963
1627303136.4127986,1.0,0.5150770097970963
1627303136.462915,1.0,0.5150770097970963
1627303136.4806254,1.0,0.3810353457927704
1627303136.512606,1.0,0.34277824163436893
1627303136.5206635,1.0,0.30446441769599913
1627303136.5445895,1.0,0.2662072941660881
1627303136.5526273,1.0,0.20873657763004302
1627303136.602716,1.0,0.20873657763004302
1627303136.6086597,1.0,0.17042277306318285
1627303136.6587186,1.0,0.17042277306318285
1627303136.6966252,1.0,0.13216563984751703
1627303136.7126062,1.0,0.09385182559490204
1627303136.7366219,1.0,0.03643779251724482
1627303136.7766185,1.0,-0.0
1627303136.79261,1.0,-0.0
1627303136.8166077,1.0,-0.0
1627303136.8326123,1.0,-0.0
1627303136.8646214,1.0,-0.0
1627303136.8806126,1.0,-0.0
1627303136.888623,1.0,-0.0
1627303136.938709,1.0,-0.0
1627303136.9888275,1.0,-0.0
1627303137.0086622,1.0,-0.0
1627303137.0566447,1.0,-0.0
1627303137.0805738,1.0,-0.0
1627303137.0966542,1.0,0.03643779251724482
