time,v,omega
1627480832.3514626,0.0,0.0
1627480832.3619096,0.0,0.0
1627480832.3721051,0.0,0.0
1627480832.3823614,0.0,0.0
1627480832.3926053,0.0,0.0
1627480832.4028425,0.0,0.0
1627480832.4130757,0.0,0.0
1627480832.4241574,0.0,0.0
1627480832.4340134,0.0,0.0
1627480832.44431,0.0,0.0
1627480832.4545908,0.0,0.0
1627480832.4648383,0.0,0.0
1627480832.474982,0.0,0.0
1627480832.4852405,0.0,0.0
1627480832.4954338,0.0,0.0
1627480832.5057142,0.0,0.0
1627480832.5159407,0.0,0.0
1627480832.526159,0.0,0.0
1627480832.5363472,0.0,0.0
1627480832.5465558,0.0,0.0
1627480832.556812,0.0,0.0
1627480832.567358,0.0,0.0
1627480832.577168,0.0,0.0
1627480832.5874324,0.0,0.0
1627480832.597712,0.0,0.0
1627480832.6079328,0.0,0.0
1627480832.6181445,0.0,0.0
1627480832.6285021,0.0,0.0
1627480832.638767,0.0,0.0
1627480832.649021,0.0,0.0
1627480832.6592925,0.0,0.0
1627480832.669615,0.0,0.0
1627480832.6799169,0.0,0.0
1627480832.6901414,0.0,0.0
1627480832.7003691,0.0,0.0
1627480832.7106059,0.0,0.0
1627480832.7208822,0.0,0.0
1627480832.7311835,0.0,0.0
1627480832.74148,0.0,0.0
1627480832.7517934,0.0,0.0
1627480832.7620926,0.0,0.0
1627480832.7724082,0.0,0.0
1627480832.7826402,0.0,0.0
1627480832.792966,0.0,0.0
1627480832.8031836,0.0,0.0
1627480832.8135052,0.0,0.0
1627480832.823801,0.0,0.0
1627480832.8342128,0.0,0.0
1627480832.844397,0.0,0.0
1627480832.8547163,0.0,0.0
1627480832.865098,0.0,0.0
1627480832.8761098,0.0,0.0
1627480832.88611,0.0,0.0
1627480832.896465,0.0,0.0
1627480832.9067864,0.0,0.0
1627480832.9171202,0.0,0.0
1627480832.9273539,0.0,0.0
1627480832.937672,0.0,0.0
1627480832.948113,0.0,0.0
1627480832.958591,0.0,0.0
1627480832.9687822,0.0,0.0
1627480832.9791827,0.0,0.0
1627480832.991698,0.0,0.0
1627480833.0017374,0.0,0.0
1627480833.0120506,0.0,0.0
1627480833.0224133,0.0,0.0
1627480833.0328588,0.0,0.0
1627480833.0431757,0.0,0.0
1627480833.0534585,0.0,0.0
1627480833.0637772,0.0,0.0
1627480833.0740469,0.0,0.0
1627480833.0844264,0.0,0.0
1627480833.094713,0.0,0.0
1627480833.1049182,0.0,0.0
1627480833.1153224,0.0,0.0
1627480833.1255076,0.0,0.0
1627480833.1358614,0.0,0.0
1627480833.1460326,0.0,0.0
1627480833.1564064,0.0,0.0
1627480833.1665974,0.0,0.0
1627480833.1791008,0.0,0.0
1627480833.1870773,0.0,0.0
1627480833.1973696,0.0,0.0
1627480833.2076313,0.0,0.0
1627480833.2178226,0.0,0.0
1627480833.2285676,0.0,0.0
1627480833.2384946,0.0,0.0
1627480833.248988,0.0,0.0
1627480833.2594035,0.0,0.0
1627480833.269736,0.0,0.0
1627480833.27999,0.0,0.0
1627480833.2902865,0.0,0.0
1627480833.3005118,0.0,0.0
1627480833.3106983,0.0,0.0
1627480833.3210044,0.0,0.0
1627480833.3312767,0.0,0.0
1627480833.3414774,0.0,0.0
1627480833.3517468,0.0,0.0
1627480833.3619576,0.0,0.0
1627480833.372254,0.0,0.0
1627480833.3825212,0.0,0.0
1627480833.3928955,0.0,0.0
1627480833.4031954,0.0,0.0
1627480833.4133294,0.0,0.0
1627480833.4235852,0.0,0.0
1627480833.4338136,0.0,0.0
1627480833.4440246,0.0,0.0
1627480833.4543548,0.0,0.0
1627480833.4645677,0.0,0.0
1627480833.4748638,0.0,0.0
1627480833.4851253,0.0,0.0
1627480833.495282,0.0,0.0
1627480833.5055716,0.0,0.0
1627480833.515824,0.0,0.0
1627480833.5261033,0.0,0.0
1627480833.5370615,0.0,0.0
1627480833.5473185,0.0,0.0
1627480833.5576353,0.0,0.0
1627480833.5678775,0.0,0.0
1627480833.5812228,0.0,0.0
1627480833.588294,0.0,0.0
1627480833.5986063,0.0,0.0
1627480833.608795,0.0,0.0
1627480833.6190069,0.0,0.0
1627480833.6292298,0.0,0.0
1627480833.6395693,0.0,0.0
1627480833.6498036,0.0,0.0
1627480833.6600285,0.0,0.0
1627480833.6703267,0.0,0.0
1627480833.6805546,0.0,0.0
1627480833.6907792,0.0,0.0
1627480833.7010064,0.0,0.0
1627480833.7112381,0.0,0.0
1627480833.7214794,0.0,0.0
1627480833.7316847,0.0,0.0
1627480833.7421849,0.0,0.0
1627480833.753356,0.0,0.0
1627480833.7624588,0.0,0.0
1627480833.7727416,0.0,0.0
1627480833.7876565,0.0,0.0
1627480833.7932196,0.0,0.0
1627480833.8034863,0.0,0.0
1627480833.8137963,0.0,0.0
1627480833.8240616,0.0,0.0
1627480833.834437,0.0,0.0
1627480833.8448315,0.0,0.0
1627480833.8553016,0.0,0.0
1627480833.8656127,0.0,0.0
1627480833.8759942,0.0,0.0
1627480833.8861814,0.0,0.0
1627480833.8964581,0.0,0.0
1627480833.9067597,0.0,0.0
1627480833.9170017,0.0,0.0
1627480833.9273212,0.0,0.0
1627480833.9376352,0.0,0.0
1627480833.947873,0.0,0.0
1627480833.95816,0.0,0.0
1627480833.968406,0.0,0.0
1627480833.9786894,0.0,0.0
1627480833.988867,0.0,0.0
1627480833.9992433,0.0,0.0
1627480834.0093796,0.0,0.0
1627480834.0195594,0.0,0.0
1627480834.029796,0.0,0.0
1627480834.0401094,0.0,0.0
1627480834.0504155,0.0,0.0
1627480834.060599,0.0,0.0
1627480834.0708954,0.0,0.0
1627480834.0812259,6.12502315320551e-08,-0.1431398789824612
1627480834.091505,6.12502315320551e-08,-0.1431398789824612
1627480834.1017518,6.12502315320551e-08,-0.1431398789824612
1627480834.111995,6.12502315320551e-08,-0.1431398789824612
1627480834.1223469,6.12502315320551e-08,-0.1431398789824612
1627480834.1326668,6.12502315320551e-08,-0.1431398789824612
1627480834.1428502,6.12502315320551e-08,-0.1431398789824612
1627480834.153658,6.12502315320551e-08,-0.1431398789824612
1627480834.1634676,6.12502315320551e-08,-0.1431398789824612
1627480834.1737359,6.12502315320551e-08,-0.1431398789824612
1627480834.1840973,6.12502315320551e-08,-0.1431398789824612
1627480834.194404,6.12502315320551e-08,-0.1431398789824612
1627480834.2046578,6.12502315320551e-08,-0.1431398789824612
1627480834.2149515,6.12502315320551e-08,-0.1431398789824612
1627480834.2252114,6.12502315320551e-08,-0.1431398789824612
1627480834.2354157,6.12502315320551e-08,-0.1431398789824612
1627480834.2457712,6.12502315320551e-08,-0.1431398789824612
1627480834.2560866,6.12502315320551e-08,-0.1431398789824612
1627480834.2664366,6.12502315320551e-08,-0.1431398789824612
1627480834.2767448,6.12502315320551e-08,-0.1431398789824612
1627480834.2869966,6.12502315320551e-08,-0.1431398789824612
1627480834.2972803,6.12502315320551e-08,-0.1431398789824612
1627480834.3075182,6.12502315320551e-08,-0.1431398789824612
1627480834.3178358,6.12502315320551e-08,-0.1431398789824612
1627480834.328106,6.12502315320551e-08,-0.1431398789824612
