time,v,omega
1627480990.2236116,0.0,0.0
1627480990.233821,0.0,0.0
1627480990.2440526,0.0,0.0
1627480990.2542636,0.0,0.0
1627480990.2645571,0.0,0.0
1627480990.2750874,0.0,0.0
1627480990.2850611,0.0,0.0
1627480990.2954314,0.0,0.0
1627480990.3056455,0.0,0.0
1627480990.3160024,0.0,0.0
1627480990.3262289,0.0,0.0
1627480990.3364816,0.0,0.0
1627480990.346726,0.0,0.0
1627480990.3568733,0.0,0.0
1627480990.3670228,0.0,0.0
1627480990.3771849,0.0,0.0
1627480990.3873153,0.0,0.0
1627480990.397621,0.0,0.0
1627480990.4078705,0.0,0.0
1627480990.4184163,0.0,0.0
1627480990.4286933,0.0,0.0
1627480990.4389207,0.0,0.0
1627480990.4492054,0.0,0.0
1627480990.459535,0.0,0.0
1627480990.4697642,0.0,0.0
1627480990.4799604,0.0,0.0
1627480990.4902961,0.0,0.0
1627480990.5005496,0.0,0.0
1627480990.510782,0.0,0.0
1627480990.5210288,0.0,0.0
1627480990.5313146,0.0,0.0
1627480990.5416858,0.0,0.0
1627480990.5520122,0.0,0.0
1627480990.56232,0.0,0.0
1627480990.5726197,0.0,0.0
1627480990.582921,0.0,0.0
1627480990.5932133,0.0,0.0
1627480990.6034884,0.0,0.0
1627480990.6138413,0.0,0.0
1627480990.624636,0.0,0.0
1627480990.6345234,0.0,0.0
1627480990.644928,0.0,0.0
1627480990.6551142,0.0,0.0
1627480990.665353,0.0,0.0
1627480990.6755583,0.0,0.0
1627480990.6858776,0.0,0.0
1627480990.6961024,0.0,0.0
1627480990.7065425,0.0,0.0
1627480990.7166696,0.0,0.0
1627480990.7268913,0.0,0.0
1627480990.7377422,0.0,0.0
1627480990.7475262,0.0,0.0
1627480990.7578673,0.0,0.0
1627480990.768328,0.0,0.0
1627480990.7785819,0.0,0.0
1627480990.788995,0.0,0.0
1627480990.7992802,0.0,0.0
1627480990.8095143,0.0,0.0
1627480990.8198094,0.0,0.0
1627480990.8300629,0.0,0.0
1627480990.8402472,0.0,0.0
1627480990.8504694,0.0,0.0
1627480990.8607433,0.0,0.0
1627480990.8709655,0.0,0.0
1627480990.881369,0.0,0.0
1627480990.8915803,0.0,0.0
1627480990.901786,0.0,0.0
1627480990.9120789,0.0,0.0
1627480990.9222593,0.0,0.0
1627480990.9326308,0.0,0.0
1627480990.945864,0.0,0.0
1627480990.9532003,0.0,0.0
1627480990.9634213,0.0,0.0
1627480990.9736717,0.0,0.0
1627480990.9839787,0.0,0.0
1627480990.9941528,0.0,0.0
1627480991.0044777,0.0,0.0
1627480991.0147583,0.0,0.0
1627480991.0250175,0.0,0.0
1627480991.035329,0.0,0.0
1627480991.0456111,0.0,0.0
1627480991.055875,0.0,0.0
1627480991.0659728,0.0,0.0
1627480991.0761964,0.0,0.0
1627480991.0863116,0.0,0.0
1627480991.0965822,0.0,0.0
1627480991.1069064,0.0,0.0
1627480991.1171067,0.0,0.0
1627480991.127492,0.0,0.0
1627480991.1391032,0.0,0.0
1627480991.1480517,0.0,0.0
1627480991.158205,0.0,0.0
1627480991.1683865,0.0,0.0
1627480991.1786163,0.0,0.0
1627480991.188706,0.0,0.0
1627480991.198949,0.0,0.0
1627480991.209118,0.0,0.0
1627480991.2192636,0.0,0.0
1627480991.2294517,0.0,0.0
1627480991.2397957,0.0,0.0
1627480991.25016,0.0,0.0
1627480991.260409,0.0,0.0
1627480991.2707365,0.0,0.0
1627480991.2811148,0.0,0.0
1627480991.2914555,0.0,0.0
1627480991.3018808,0.0,0.0
1627480991.3121195,0.0,0.0
1627480991.3225074,0.0,0.0
1627480991.3328686,0.0,0.0
1627480991.343505,0.0,0.0
1627480991.353571,0.0,0.0
1627480991.3639011,0.0,0.0
1627480991.3740983,0.0,0.0
1627480991.3843544,0.0,0.0
1627480991.3946161,0.0,0.0
1627480991.4048295,0.0,0.0
1627480991.415055,0.0,0.0
1627480991.4252098,0.0,0.0
1627480991.4355063,0.0,0.0
1627480991.445823,0.0,0.0
1627480991.4560363,0.0,0.0
1627480991.4663846,0.0,0.0
1627480991.4765174,0.0,0.0
1627480991.4867108,0.0,0.0
1627480991.496919,0.0,0.0
1627480991.5072486,0.0,0.0
1627480991.5175333,0.0,0.0
1627480991.5278916,0.0,0.0
1627480991.5390584,0.0,0.0
1627480991.5483074,0.0,0.0
1627480991.5585904,0.0,0.0
1627480991.5689313,0.0,0.0
1627480991.5791016,0.0,0.0
1627480991.5893383,0.0,0.0
1627480991.5995538,0.0,0.0
1627480991.60973,0.0,0.0
1627480991.61999,0.0,0.0
1627480991.630115,0.0,0.0
1627480991.6403055,0.0,0.0
1627480991.651729,0.0,0.0
1627480991.6609807,0.0,0.0
1627480991.671188,0.0,0.0
1627480991.6815586,0.0,0.0
1627480991.6917505,0.0,0.0
1627480991.7020335,0.0,0.0
1627480991.7122238,0.0,0.0
1627480991.7225058,0.0,0.0
1627480991.7326326,0.0,0.0
1627480991.7428381,0.0,0.0
1627480991.753063,0.0,0.0
1627480991.763288,0.0,0.0
1627480991.7735589,0.0,0.0
1627480991.783765,0.0,0.0
1627480991.7940469,0.0,0.0
1627480991.8042839,0.0,0.0
1627480991.8146043,0.0,0.0
1627480991.8248649,0.0,0.0
1627480991.8350437,0.0,0.0
1627480991.8453488,0.0,0.0
1627480991.8555136,0.0,0.0
1627480991.8658252,0.0,0.0
1627480991.8760443,0.0,0.0
1627480991.8862536,0.0,0.0
1627480991.8965156,0.0,0.0
1627480991.9068425,0.0,0.0
1627480991.9171076,0.0,0.0
1627480991.9273114,0.0,0.0
1627480991.937516,0.0,0.0
1627480991.9479373,0.0,0.0
1627480991.9580572,0.0,0.0
1627480991.968341,0.0,0.0
1627480991.9786067,0.0,0.0
1627480991.9887872,0.0,0.0
1627480991.9990256,0.0,0.0
1627480992.009238,0.0,0.0
1627480992.019478,0.0,0.0
1627480992.029675,0.0,0.0
1627480992.039915,0.0,0.0
1627480992.0502546,0.0,0.0
1627480992.0603788,0.0,0.0
1627480992.0708306,0.0,0.0
1627480992.0810602,0.0,0.0
1627480992.0913203,0.0,0.0
1627480992.1015053,0.0,0.0
1627480992.1118217,0.0,0.0
1627480992.1220424,0.0,0.0
1627480992.1323328,0.0,0.0
1627480992.1426518,0.0,0.0
1627480992.152824,0.0,0.0
1627480992.1630917,0.0,0.0
1627480992.1733842,0.0,0.0
1627480992.1835496,0.0,0.0
1627480992.1937983,0.0,0.0
1627480992.204009,0.0,0.0
1627480992.214211,0.0,0.0
1627480992.2243714,0.0,0.0
1627480992.2347233,0.0,0.0
1627480992.244968,0.0,0.0
1627480992.255184,0.0,0.0
1627480992.2654476,0.0,0.0
1627480992.2756817,0.0,0.0
1627480992.2859879,0.0,0.0
1627480992.296324,0.0,0.0
1627480992.3065479,0.0,0.0
1627480992.3167684,0.0,0.0
1627480992.3270185,0.0,0.0
1627480992.3373327,0.0,0.0
1627480992.3476028,0.0,0.0
1627480992.3581421,0.0,0.0
1627480992.3681097,0.0,0.0
1627480992.3782809,0.0,0.0
1627480992.3885791,0.0,0.0
1627480992.3988657,0.0,0.0
1627480992.409192,0.0,0.0
1627480992.4194567,0.0,0.0
1627480992.4297025,0.0,0.0
1627480992.4400556,0.0,0.0
1627480992.4502814,0.0,0.0
1627480992.4606338,0.0,0.0
1627480992.4707992,0.0,0.0
1627480992.4810674,0.0,0.0
1627480992.4913526,0.0,0.0
1627480992.501578,0.0,0.0
1627480992.511828,0.0,0.0
1627480992.522077,0.0,0.0
1627480992.5322833,0.0,0.0
1627480992.5424998,0.0,0.0
1627480992.5527718,0.0,0.0
1627480992.562999,0.0,0.0
1627480992.5732076,0.0,0.0
1627480992.583607,0.0,0.0
1627480992.5939248,0.0,0.0
1627480992.6042278,0.0,0.0
1627480992.6145272,0.0,0.0
1627480992.624858,0.0,0.0
1627480992.6350358,0.0,0.0
1627480992.6452773,0.0,0.0
1627480992.655495,0.0,0.0
1627480992.6657422,0.0,0.0
1627480992.6760805,0.0,0.0
1627480992.6863048,0.0,0.0
1627480992.6965165,0.0,0.0
1627480992.7067466,0.0,0.0
1627480992.7170708,0.0,0.0
1627480992.7272582,0.0,0.0
1627480992.7375007,0.0,0.0
1627480992.7477212,0.0,0.0
1627480992.7579513,0.0,0.0
1627480992.7682703,0.0,0.0
1627480992.7784457,0.0,0.0
1627480992.7886398,0.0,0.0
1627480992.798905,0.0,0.0
1627480992.8091457,0.0,0.0
1627480992.8193328,0.0,0.0
1627480992.8296099,0.0,0.0
1627480992.839852,0.0,0.0
1627480992.850572,0.0,0.0
1627480992.8605514,0.0,0.0
1627480992.87084,0.0,0.0
1627480992.8811507,0.0,0.0
1627480992.8914738,0.0,0.0
1627480992.9016309,0.0,0.0
1627480992.9119556,0.0,0.0
1627480992.9221816,0.0,0.0
1627480992.9323692,0.0,0.0
1627480992.942598,0.0,0.0
1627480992.9528475,0.0,0.0
1627480992.9632626,0.0,0.0
1627480992.9735527,0.0,0.0
1627480992.9837434,0.0,0.0
1627480992.9940324,0.0,0.0
1627480993.0043154,0.0,0.0
1627480993.0145197,0.0,0.0
1627480993.0246809,0.0,0.0
1627480993.0349612,0.0,0.0
1627480993.0451393,0.0,0.0
1627480993.055407,0.0,0.0
1627480993.0656626,0.0,0.0
1627480993.0759442,0.0,0.0
1627480993.086181,0.0,0.0
1627480993.0964136,0.0,0.0
1627480993.1065547,0.0,0.0
1627480993.116792,0.0,0.0
1627480993.1271446,0.0,0.0
1627480993.1373346,0.0,0.0
1627480993.1475646,0.0,0.0
1627480993.1577604,0.0,0.0
1627480993.1680307,0.0,0.0
1627480993.1782224,0.0,0.0
1627480993.1884773,0.0,0.0
1627480993.1987135,0.0,0.0
1627480993.2089894,0.0,0.0
1627480993.2192717,0.0,0.0
1627480993.229452,0.0,0.0
1627480993.2395937,0.0,0.0
1627480993.2497709,0.0,0.0
1627480993.260054,0.0,0.0
1627480993.2702484,0.0,0.0
1627480993.2804499,0.0,0.0
1627480993.2908146,0.0,0.0
1627480993.3010743,0.0,0.0
1627480993.3113484,0.0,0.0
1627480993.3216627,0.0,0.0
1627480993.3320246,0.0,0.0
1627480993.3423638,0.0,0.0
1627480993.3527489,0.0,0.0
1627480993.362828,0.0,0.0
1627480993.3730838,0.0,0.0
1627480993.383409,0.0,0.0
1627480993.3938534,0.0,0.0
1627480993.4039264,0.0,0.0
1627480993.4141297,0.0,0.0
1627480993.4243507,0.0,0.0
1627480993.4346232,0.0,0.0
1627480993.4448493,0.0,0.0
1627480993.455194,0.0,0.0
1627480993.4654646,0.0,0.0
1627480993.475815,0.0,0.0
1627480993.4860735,0.0,0.0
1627480993.4962738,0.0,0.0
1627480993.5064704,0.0,0.0
1627480993.5167668,0.0,0.0
1627480993.5270247,0.0,0.0
1627480993.5373216,0.0,0.0
1627480993.5476418,0.0,0.0
1627480993.55778,0.0,0.0
1627480993.567995,0.0,0.0
1627480993.5782597,0.0,0.0
1627480993.5884619,0.0,0.0
1627480993.5986977,0.0,0.0
1627480993.6090293,0.0,0.0
1627480993.6192946,0.0,0.0
1627480993.629481,0.0,0.0
1627480993.6398056,0.0,0.0
1627480993.6500967,0.0,0.0
1627480993.6602695,0.0,0.0
1627480993.6705801,0.0,0.0
1627480993.680854,0.0,0.0
1627480993.6910717,0.0,0.0
1627480993.7013984,0.0,0.0
1627480993.7116868,0.0,0.0
1627480993.7218475,0.0,0.0
1627480993.7320626,0.0,0.0
1627480993.7423415,0.0,0.0
1627480993.754114,0.0,0.0
1627480993.7628675,0.0,0.0
1627480993.7732704,0.0,0.0
1627480993.7834983,0.0,0.0
1627480993.7936664,0.0,0.0
1627480993.8039222,0.0,0.0
1627480993.814148,0.0,0.0
1627480993.824324,0.0,0.0
1627480993.8345883,0.0,0.0
1627480993.8447933,0.0,0.0
1627480993.854999,0.0,0.13757982850074768
1627480993.865263,0.0,0.13757982850074768
1627480993.8755252,0.0,0.13757982850074768
1627480993.885747,0.0,0.13757982850074768
1627480993.8959744,0.0,0.13757982850074768
1627480993.9062476,0.0,0.13757982850074768
1627480993.9164343,0.0,0.13757982850074768
1627480993.926735,0.0,0.13757982850074768
1627480993.9368584,0.0,0.13757982850074768
1627480993.947104,0.0,0.13757982850074768
1627480993.9591093,0.0,0.13837815821170804
1627480993.967601,0.0,0.13837815821170804
1627480993.9777622,0.0,0.13837815821170804
1627480993.9879754,0.0,0.13837815821170804
1627480993.9981823,0.0,0.13837815821170804
1627480994.008466,0.0,0.13837815821170804
1627480994.0187318,0.0,0.13837815821170804
1627480994.0289307,0.0,0.13837815821170804
1627480994.039152,0.0,0.13837815821170804
1627480994.0494065,0.0,0.13837815821170804
1627480994.059712,0.0,0.1429675668478012
1627480994.0699418,0.0,0.1429675668478012
1627480994.0800645,0.0,0.1429675668478012
1627480994.0903003,0.0,0.1429675668478012
1627480994.1004791,0.0,0.1429675668478012
1627480994.1106353,0.0,0.1429675668478012
1627480994.1209078,0.0,0.1429675668478012
1627480994.1310983,0.0,0.1429675668478012
1627480994.141325,0.0,0.1429675668478012
1627480994.151582,0.0,0.1429675668478012
1627480994.1617732,0.0,0.1389235556125641
1627480994.1720476,0.0,0.1389235556125641
1627480994.1821668,0.0,0.1389235556125641
1627480994.192399,0.0,0.1389235556125641
