time,v,omega
1627481896.2299185,0.0,0.0
1627481901.3211906,0.0,0.0
1627481901.371186,0.0,0.0
1627481901.4212658,0.0,0.0
1627481901.4661825,-0.0,0.0
1627481901.4902399,-0.0,0.0
1627481901.4981961,-0.0,0.0
1627481901.5061383,-0.0,0.0
1627481901.5142136,-0.0,0.0
1627481901.5221932,-0.0,0.0
1627481901.5302465,-0.0,0.0
1627481901.538305,-0.0,0.0
1627481901.5461652,-0.0,0.0
1627481901.5542736,-0.0,0.0
1627481901.5622365,-0.0,0.0
1627481901.5701354,-0.0,0.0
1627481901.5782387,0.14583051204681396,0.0
1627481901.5862062,0.1753026843070984,0.0
1627481901.5942225,0.20477484166622162,0.0
1627481901.6021852,0.2636755704879761,0.0
1627481901.6102595,0.33731237053871155,0.0
1627481901.6182551,0.3962130844593048,0.0
1627481901.626152,0.42568525671958923,0.0
1627481901.6422405,0.4845859706401825,0.0
1627481901.6501536,0.5140581130981445,0.0
1627481901.6581845,0.5434867143630981,0.0
1627481901.6661658,0.6024309992790222,0.0
1627481901.6745956,0.6318596005439758,0.0
1627481901.6822069,0.6907603144645691,0.0
1627481901.6901908,0.7202324867248535,0.0
1627481901.6982274,0.7497045993804932,0.0
1627481901.7062032,0.7791332006454468,0.0
1627481901.7141562,0.8086053729057312,0.0
1627481901.722178,0.8675060868263245,0.0
1627481901.730181,0.8969782590866089,0.0
1627481901.7381744,0.9558789730072021,0.0
1627481901.7462041,0.9853510856628418,0.0
1627481901.7542648,1.0,-0.0
1627481901.7781458,1.0,-0.0
1627481901.8182082,1.0,-0.0
1627481901.8682678,1.0,-0.0
1627481901.918392,1.0,-0.0
1627481901.954218,1.0,-0.0
1627481902.0042984,1.0,-0.0
1627481902.0544348,1.0,-0.0
1627481902.1046045,1.0,-0.0
1627481902.1545985,1.0,-0.0
1627481902.2047546,1.0,-0.0
1627481902.2182403,1.0,-0.0
1627481902.2342243,1.0,-0.0
1627481902.2421944,1.0,-0.0
1627481902.258213,1.0,-0.0
1627481902.2661417,1.0,-0.0
1627481902.2742903,1.0,-0.0
