time,v,omega
1627481370.936763,0.0,0.0
1627481370.97826,0.0,0.0
1627481370.9917672,0.0,0.0
1627481371.038073,0.0,0.0
1627481371.0814521,0.0,0.0
1627481371.0947914,0.0,0.0
1627481371.1429486,0.0,0.0
1627481371.1842742,0.0,0.0
1627481371.2031043,0.0,0.0
1627481371.2496326,0.0,0.0
1627481371.2737784,0.0,0.0
1627481371.322674,0.0,0.0
1627481371.366127,0.0,0.0
1627481371.3847528,0.0,0.0
1627481371.4343529,0.0,0.0
1627481371.4581475,0.0,0.0
1627481371.5054762,0.0,0.0
1627481371.554021,0.0,0.0
1627481371.6038287,0.0,0.0
1627481371.6523461,0.0,0.0
1627481371.7021875,0.0,0.0
1627481371.748876,0.0,0.0
1627481371.7963176,0.0,0.0
1627481371.8495917,0.0,0.0
1627481371.8644505,0.0,0.0
1627481371.9107215,0.0,0.0
1627481371.9644387,0.0,0.0
1627481371.97811,0.0,0.0
1627481372.0219488,0.0,0.0
1627481372.0671196,0.0,0.0
1627481372.1484866,0.0,0.0
1627481372.1802623,0.0,0.0
1627481372.2304418,0.0,0.0
1627481372.2545047,0.0,0.0
1627481372.3036826,0.0,0.0
1627481372.3483925,0.0,0.0
1627481372.3973277,0.0,0.0
1627481372.4433777,0.0,0.0
1627481372.4925232,0.0,0.0
1627481372.5328722,0.0,0.0
1627481372.5818417,0.0,0.0
1627481372.6232924,0.0,0.0
1627481372.67198,0.0,0.0
1627481372.6964014,0.0,0.0
1627481372.7456625,0.0,0.0
1627481372.7916894,0.0,0.0
1627481372.811051,0.0,0.0
1627481372.8611336,0.0,0.0
1627481372.875542,0.0,0.0
1627481372.923599,0.0,0.0
1627481372.963661,0.0,0.0
1627481373.0146773,0.0,0.0
1627481373.0337794,0.0,0.0
1627481373.082627,0.0,0.0
1627481373.1091425,0.0,0.0
1627481373.1581523,0.0,0.0
1627481373.2026558,0.0,0.0
1627481373.2513893,0.0,0.0
1627481373.2973075,0.0,0.0
1627481373.3459883,0.0,0.0
1627481373.3906977,0.0,0.0
1627481373.4404683,0.0,0.0
1627481373.485595,0.0,0.0
1627481373.509169,0.0,0.0
1627481373.5589616,0.0,0.0
1627481373.5731487,0.0,0.0
1627481373.622674,0.0,0.0
1627481373.644333,0.0,0.0
1627481373.6932473,0.0,0.0
1627481373.7178388,0.0,0.0
1627481373.7670426,0.0,0.0
1627481373.8122728,0.0,0.0
1627481373.8312967,0.0,0.0
1627481373.8805244,0.0,0.0
1627481373.8993363,0.0,0.0
1627481373.9468732,0.0,0.0
1627481373.969701,0.0,0.0
1627481374.0148013,0.0,0.0
1627481374.05662,0.0,0.0
1627481374.0745568,0.0,0.0
1627481374.1247647,0.0,0.0
1627481374.1485536,0.0,0.0
1627481374.1967237,0.0,0.0
1627481374.2367024,0.0,0.0
1627481374.2593887,0.0,0.0
1627481374.3118653,0.0,0.0
1627481374.3471634,0.0,0.0
1627481374.4225433,0.0,0.0
1627481374.4492943,0.0,0.0
1627481374.5035985,0.0,0.0
1627481374.5263858,0.0,0.0
1627481374.5779848,0.0,0.0
1627481374.598773,0.0,0.0
1627481374.6498263,0.0,0.0
1627481374.6765468,0.0,0.0
1627481374.7287233,0.0,0.0
1627481374.7742949,0.0,0.0
1627481374.7929919,0.0,0.0
1627481374.843724,0.0,0.0
1627481374.8585467,0.0,0.0
1627481374.9071145,0.0,0.0
1627481374.9475005,0.0,0.0
1627481374.9966626,0.0,0.0
1627481375.0218382,0.0,0.0
1627481375.0713208,0.0,0.0
1627481375.1239798,0.0,0.0
1627481375.1734264,0.0,0.0
1627481375.1986914,0.0,0.0
1627481375.252122,0.0,0.0
1627481375.2989604,0.0,0.0
1627481375.3186562,0.0,0.0
1627481375.3645558,0.0,0.0
1627481375.3901467,0.0,0.0
1627481375.4423733,0.0,0.0
1627481375.4968967,0.0,0.0
1627481375.5491915,0.0,0.0
1627481375.574568,0.0,0.0
1627481375.622005,0.0,0.0
1627481375.6735532,0.0,0.0
1627481375.6890721,0.0,0.0
1627481375.741557,0.0,0.0
1627481375.7732878,0.0,0.0
1627481375.8259816,0.0,0.0
1627481375.8738089,0.0,0.0
1627481375.8945646,0.0,0.0
1627481375.9468846,0.0,0.0
1627481375.971438,0.0,0.0
1627481376.0223184,0.0,0.0
1627481376.0673025,0.0,0.0
1627481376.0866632,0.0,0.0
1627481376.1419468,0.0,0.0
1627481376.156504,0.0,0.0
1627481376.2071962,0.0,0.0
1627481376.24641,0.0,0.0
1627481376.29611,0.0,0.0
1627481376.3412983,0.0,0.0
1627481376.3601332,0.0,0.0
1627481376.4092414,0.0,0.0
1627481376.4291525,0.0,0.0
1627481376.4787803,0.0,0.0
1627481376.5034423,0.0,0.0
1627481376.5531025,0.0,0.0
1627481376.5973458,0.0,0.0
1627481376.6110206,0.0,0.0
1627481376.6607804,0.0,0.0
1627481376.6858068,0.0,0.0
1627481376.7344162,0.0,0.0
1627481376.7799234,0.0,0.0
1627481376.8033173,0.0,0.0
1627481376.848589,0.0,0.0
1627481376.867609,0.0,0.0
1627481376.9161747,0.0,0.0
1627481376.9432108,0.0,0.0
1627481376.992539,0.0,0.0
1627481377.038916,0.0,0.0
1627481377.0891025,0.0,0.0
1627481377.137988,0.0,0.0
1627481377.1882076,0.0,0.0
1627481377.2126832,0.0,0.0
1627481377.262822,0.0,0.0
1627481377.3080966,0.0,0.0
1627481377.3315756,0.0,0.0
1627481377.3767207,0.0,0.0
1627481377.3914301,0.0,0.0
1627481377.4415507,0.0,0.0
1627481377.4867232,0.0,0.0
1627481377.5152264,0.0,0.0
1627481377.5606103,0.0,0.0
1627481377.5756974,0.0,0.0
1627481377.6234899,0.0,0.0
1627481377.6594143,0.0,0.0
1627481377.7088828,0.0,0.0
1627481377.733089,0.0,0.0
1627481377.7815433,0.0,0.0
1627481377.8014643,0.0,0.0
1627481377.8517501,0.0,0.0
1627481377.897221,0.0,0.0
1627481377.920754,0.0,0.0
1627481377.9713025,0.0,0.0
1627481377.9851654,0.0,0.0
1627481378.0334287,0.0,0.0
1627481378.0704887,0.0,0.0
1627481378.1188278,0.0,0.0
1627481378.1424625,0.0,0.0
1627481378.1900253,0.0,0.0
1627481378.2274976,0.0,0.0
1627481378.2740119,0.0,0.0
1627481378.315705,0.0,0.0
1627481378.3341718,0.0,0.0
1627481378.382374,0.0,0.0
1627481378.4007592,0.0,0.0
1627481378.4479225,0.0,0.0
1627481378.4886029,0.0,0.0
1627481378.506639,0.0,0.0
1627481378.551967,0.0,0.0
1627481378.5792778,0.0,0.0
1627481378.6248765,0.0,0.0
1627481378.6936226,0.0,0.0
1627481378.7297075,0.0,0.0
1627481378.778162,0.0,0.0
1627481378.7925892,0.0,0.0
1627481378.8344493,0.0,0.0
1627481378.8650255,0.0,0.0
1627481378.9113286,0.0,0.0
1627481378.953674,0.0,0.0
1627481378.996337,0.0,0.0
1627481379.0171633,0.0,0.0
1627481379.0572946,0.0,0.0
1627481379.0980654,0.0,0.0
1627481379.1498332,0.0,0.0
1627481379.1740491,0.0,0.0
1627481379.2228656,0.0,0.0
1627481379.2688131,0.0,0.0
1627481379.2929385,0.0,0.0
1627481379.337251,0.0,0.0
1627481379.3514655,0.0,0.0
1627481379.4010441,0.0,0.0
1627481379.4573874,0.0,0.0
1627481379.4983807,0.0,0.0
1627481379.5565643,0.0,0.0
1627481379.5769584,0.0,0.0
1627481379.62844,0.0,0.0
1627481379.6525218,0.0,0.0
1627481379.701078,0.0,0.0
1627481379.748193,0.0,0.0
1627481379.7955122,0.0,0.0
1627481379.839898,0.0,0.0
1627481379.8601499,0.0,0.0
1627481379.908939,0.0,0.0
1627481379.930901,0.0,0.0
1627481379.9778845,0.0,0.0
1627481380.0200303,0.0,0.0
1627481380.066667,0.0,0.0
1627481380.1086876,0.0,0.0
1627481380.1356754,0.0,0.0
1627481380.1760087,0.0,0.0
1627481380.1938462,0.0,0.0
1627481380.2411587,0.0,0.0
1627481380.3099854,0.0,0.0
1627481380.3418255,0.0,0.0
1627481380.3893297,0.0,0.0
1627481380.412296,0.0,0.0
1627481380.460207,0.0,0.0
1627481380.5025315,0.0,0.0
1627481380.5165284,0.0,0.0
1627481380.565361,0.0,0.0
1627481380.6093981,0.0,0.0
1627481380.6324954,0.0,0.0
1627481380.6761642,0.0,0.0
1627481380.6945767,0.0,0.0
1627481380.7410314,0.0,0.0
1627481380.7699823,0.0,0.0
1627481380.8176644,0.0,0.0
1627481380.841972,0.0,0.0
1627481380.8882835,0.0,0.0
1627481380.9312952,0.0,0.0
1627481380.9511871,0.0,0.0
1627481381.0005429,0.0,0.0
1627481381.0185382,0.0,0.0
1627481381.0645735,0.0,0.0
1627481381.1084144,0.0,0.0
1627481381.1345692,0.0,0.0
1627481381.1788588,0.0,0.0
1627481381.1996372,0.0,0.0
1627481381.2478516,0.0,0.0
1627481381.292107,0.0,0.0
1627481381.3159444,0.0,0.0
1627481381.358992,0.0,0.0
1627481381.3724506,0.0,0.0
1627481381.4209242,0.0,0.0
1627481381.4668503,0.0,0.0
1627481381.4787178,0.0,0.0
1627481381.5266128,0.0,0.0
1627481381.569156,0.0,0.0
1627481381.5967543,0.0,0.0
1627481381.639618,0.0,0.0
1627481381.6532981,0.0,0.0
1627481381.7012815,0.0,0.0
1627481381.7448428,0.0,0.0
1627481381.7677772,0.0,0.0
1627481381.8145628,0.0,0.0
1627481381.8326707,0.0,0.0
1627481381.8802242,0.0,0.0
1627481381.898486,0.0,0.0
1627481381.9459567,0.0,0.0
1627481381.9884796,0.0,0.0
1627481382.0070002,0.0,0.0
1627481382.0557346,0.0,0.0
1627481382.0812197,0.0,0.0
1627481382.12578,0.0,0.0
1627481382.1714678,0.0,0.0
1627481382.1897433,0.0,0.0
1627481382.236155,0.0,0.0
1627481382.2597868,0.0,0.0
1627481382.307664,0.0,0.0
1627481382.358832,0.0,0.0
1627481382.375093,0.0,0.0
1627481382.4277785,0.0,0.0
1627481382.4539287,0.0,0.0
1627481382.5324292,0.0,0.0
1627481382.5893035,0.0,0.0
1627481382.6379251,0.0,0.0
1627481382.6864874,0.0,0.0
1627481382.7371254,0.0,0.0
1627481382.7640376,0.0,0.0
1627481382.8148491,0.0,0.0
1627481382.8357844,0.0,0.0
1627481382.886825,0.0,0.0
1627481382.9364812,0.0,0.0
1627481382.988625,0.0,0.0
1627481383.0145195,0.0,0.0
1627481383.0647194,0.0,0.0
1627481383.086071,0.0,0.0
1627481383.1406507,0.0,0.0
1627481383.166511,0.0,0.0
1627481383.2168736,0.0,0.0
1627481383.236794,0.0,0.0
1627481383.288958,0.0,0.0
1627481383.342556,0.0,0.0
1627481383.3921824,0.0,0.0
1627481383.4171958,0.0,0.0
1627481383.4701772,0.0,0.0
1627481383.516091,0.0,0.0
1627481383.5347447,0.0,0.0
1627481383.5842505,0.0,0.0
1627481383.604199,0.0,0.0
1627481383.652546,0.0,0.0
1627481383.6966412,0.0,0.0
1627481383.7228081,0.0,0.0
1627481383.7718754,0.0,0.0
1627481383.7910867,0.0,0.0
1627481383.838483,0.0,0.0
1627481383.8631513,0.0,0.0
1627481383.9113271,0.0,0.0
1627481383.935475,0.0,0.0
1627481383.9946408,0.0,0.0
1627481384.0290945,0.0,0.0
1627481384.0945554,0.0,0.0
1627481384.1178536,0.0,0.0
1627481384.169235,0.0,0.0
1627481384.214228,0.0,0.0
1627481384.2329834,0.0,0.0
1627481384.2829936,0.0,0.0
1627481384.3023229,0.0,0.0
1627481384.3508818,0.0,0.0
1627481384.3763618,0.0,0.0
1627481384.4249465,0.0,0.0
1627481384.4695935,0.0,0.0
1627481384.5179014,0.0,0.0
1627481384.5629096,0.0,0.0
1627481384.5864222,0.0,0.0
1627481384.6348915,0.0,0.0
1627481384.6536813,0.0,0.0
1627481384.702897,0.0,0.0
1627481384.7230594,0.0,0.0
1627481384.7713826,0.0,0.0
1627481384.7954867,0.0,0.0
1627481384.8423202,0.0,0.0
1627481384.8843017,0.0,0.0
1627481384.9069643,0.0,0.0
1627481384.9489198,0.0,0.0
1627481384.96778,0.0,0.0
1627481385.0142183,0.0,0.0
1627481385.036943,0.0,0.0
1627481385.082764,0.0,0.0
1627481385.1236415,0.0,0.0
1627481385.1373873,0.0,0.0
1627481385.185132,0.0,0.0
1627481385.2226202,0.0,0.0
1627481385.268714,0.0,0.0
1627481385.3104172,0.0,0.0
1627481385.3553357,0.0,0.0
1627481385.3967211,0.0,0.0
1627481385.4148035,0.0,0.0
1627481385.4613378,0.0,0.0
1627481385.5016422,0.0,0.0
1627481385.515085,0.0,0.0
1627481385.562996,0.0,0.0
1627481385.6065915,0.0,0.0
1627481385.6202455,0.0,0.0
1627481385.6656833,0.0,0.0
1627481385.706068,0.0,0.0
1627481385.7514825,0.0,0.0
1627481385.7745123,0.0,0.0
1627481385.8200965,0.0,0.0
1627481385.8612564,0.0,0.0
1627481385.9064484,0.0,0.0
1627481385.9525824,0.0,0.0
1627481385.9661975,0.0,0.0
1627481386.0115576,0.0,0.0
1627481386.0411582,0.0,0.0
1627481386.086884,0.0,0.0
1627481386.1317184,0.0,0.0
1627481386.1554527,0.0,0.0
1627481386.2054813,0.0,0.0
1627481386.2557497,0.0,0.0
1627481386.2704682,0.0,0.0
1627481386.317209,0.0,0.0
1627481386.3598351,0.0,0.0
1627481386.4047456,0.0,0.0
1627481386.428926,0.0,0.0
1627481386.4753144,0.0,0.0
1627481386.521542,0.0,0.0
1627481386.5668762,0.0,0.0
1627481386.612572,0.0,0.0
1627481386.6586268,0.0,0.0
1627481386.7046454,0.0,0.0
1627481386.751119,0.0,0.0
1627481386.797181,0.0,0.0
1627481386.842337,0.0,0.0
1627481386.866466,0.0,0.0
1627481386.9155512,0.0,0.0
1627481386.9659102,0.0,0.0
1627481387.0136664,0.0,0.0
1627481387.0564005,0.0,0.0
1627481387.102209,0.0,0.0
1627481387.1428828,0.0,0.0
1627481387.1661503,0.0,0.0
1627481387.2100856,0.0,0.0
1627481387.2331486,0.0,0.0
1627481387.2826211,0.0,0.0
1627481387.3316932,0.0,0.0
1627481387.346684,0.0,0.0
1627481387.395302,0.0,0.0
1627481387.44144,0.0,0.0
1627481387.4731238,0.0,0.0
1627481387.5207193,0.0,0.0
