time,v,omega
1627481511.9572582,0.0,0.0
1627481511.975903,0.0,0.0
1627481512.0222883,0.0,0.0
1627481512.0459874,0.0,0.0
1627481512.0886338,0.0,0.0
1627481512.136117,0.0,0.0
1627481512.1575692,0.0,0.0
1627481512.2110999,0.0,0.0
1627481512.2376225,0.0,0.0
1627481512.2815828,0.0,0.0
1627481512.3317757,0.0,0.0
1627481512.3447473,0.0,0.0
1627481512.4268107,0.0,0.0
1627481512.4903185,0.0,0.0
1627481512.5122738,0.0,0.0
1627481512.568326,0.0,0.0
1627481512.5890694,0.0,0.0
1627481512.6348867,0.0,0.0
1627481512.6851087,0.0,0.0
1627481512.6998267,0.0,0.0
1627481512.747189,0.0,0.0
1627481512.7933395,0.0,0.0
1627481512.8372247,0.0,0.0
1627481512.8620775,0.0,0.0
1627481512.9073026,0.0,0.0
1627481512.951664,0.0,0.0
1627481512.9712925,0.0,0.0
1627481513.0162961,0.0,0.0
1627481513.0637066,0.0,0.0
1627481513.0847282,0.0,0.0
1627481513.1301012,0.0,0.0
1627481513.1828876,0.0,0.0
1627481513.257416,0.0,0.0
1627481513.285312,0.0,0.0
1627481513.3312824,0.0,0.0
1627481513.3807614,0.0,0.0
1627481513.3970854,0.0,0.0
1627481513.4463418,0.0,0.0
1627481513.482177,0.0,0.0
1627481513.5323842,0.0,0.0
1627481513.5575595,0.0,0.0
1627481513.6080263,0.0,0.0
1627481513.6521804,0.0,0.0
1627481513.7015288,0.0,0.0
1627481513.7483172,0.0,0.0
1627481513.7631724,0.0,0.0
1627481513.812875,0.0,0.0
1627481513.8522937,0.0,0.0
1627481513.9016018,0.0,0.0
1627481513.9212537,0.0,0.0
1627481513.9725957,0.0,0.0
1627481514.0148582,0.0,0.0
1627481514.0321312,0.0,0.0
1627481514.0823293,0.0,0.0
1627481514.106622,0.0,0.0
1627481514.1571424,0.0,0.0
1627481514.2024207,0.0,0.0
1627481514.2167413,0.0,0.0
1627481514.2660499,0.0,0.0
1627481514.307066,0.0,0.0
1627481514.3589478,0.0,0.0
1627481514.3865697,0.0,0.0
1627481514.439845,0.0,0.0
1627481514.485582,0.0,0.0
1627481514.5351326,0.0,0.0
1627481514.5599399,0.0,0.0
1627481514.6083279,0.0,0.0
1627481514.6331189,0.0,0.0
1627481514.6986368,0.0,0.0
1627481514.7426612,0.0,0.0
1627481514.8039544,0.0,0.0
1627481514.82371,0.0,0.0
1627481514.8733103,0.0,0.0
1627481514.922189,0.0,0.0
1627481514.9381084,0.0,0.0
1627481514.99215,0.0,0.0
1627481515.015959,0.0,0.0
1627481515.0692725,0.0,0.0
1627481515.109898,0.0,0.0
1627481515.1609707,0.0,0.0
1627481515.2068198,0.0,0.0
1627481515.2567205,0.0,0.0
1627481515.3038125,0.0,0.0
1627481515.3187428,0.0,0.0
1627481515.366294,0.0,0.0
1627481515.4021237,0.0,0.0
1627481515.4512613,0.0,0.0
1627481515.5127912,0.0,0.0
1627481515.538284,0.0,0.0
1627481515.5998511,0.0,0.0
1627481515.6195776,0.0,0.0
1627481515.6674886,0.0,0.0
1627481515.713385,0.0,0.0
1627481515.726274,0.0,0.0
1627481515.7763793,0.0,0.0
1627481515.8165596,0.0,0.0
1627481515.8596563,0.0,0.0
1627481515.9081159,0.0,0.0
1627481515.9235222,0.0,0.0
1627481515.9689314,0.0,0.0
1627481516.0080278,0.0,0.0
1627481516.0522213,0.0,0.0
1627481516.101528,0.0,0.0
1627481516.1173284,0.0,0.0
1627481516.1613915,0.0,0.0
1627481516.2113047,0.0,0.0
1627481516.2266688,0.0,0.0
1627481516.2758906,0.0,0.0
1627481516.3029647,0.0,0.0
1627481516.3459973,0.0,0.0
1627481516.3907273,0.0,0.0
1627481516.4109764,0.0,0.0
1627481516.4540703,0.0,0.0
1627481516.498658,0.0,0.0
1627481516.5174124,0.0,0.0
1627481516.564081,0.0,0.0
1627481516.6047716,0.0,0.0
1627481516.6487627,0.0,0.0
1627481516.6984966,0.0,0.0
1627481516.7201376,0.0,0.0
1627481516.7673037,0.0,0.0
1627481516.8026197,0.0,0.0
1627481516.8494198,0.0,0.0
1627481516.8965602,0.0,0.0
1627481516.921773,0.0,0.0
1627481516.9695165,0.0,0.0
1627481517.0027535,0.0,0.0
1627481517.0899746,0.0,0.0
1627481517.126149,0.0,0.0
1627481517.1706526,0.0,0.0
1627481517.2159522,0.0,0.0
1627481517.2365155,0.0,0.0
1627481517.2888293,0.0,0.0
1627481517.3121147,0.0,0.0
1627481517.3605669,0.0,0.0
1627481517.4052029,0.0,0.0
1627481517.4251964,0.0,0.0
1627481517.4688058,0.0,0.0
1627481517.4889107,0.0,0.0
1627481517.53784,0.0,0.0
1627481517.5817387,0.0,0.0
1627481517.6017687,0.0,0.0
1627481517.6502428,0.0,0.0
1627481517.6657999,0.0,0.0
1627481517.7146952,0.0,0.0
1627481517.7515888,0.0,0.0
1627481517.8018627,0.0,0.0
1627481517.8459992,0.0,0.0
1627481517.8945029,0.0,0.0
1627481517.938866,0.0,0.0
1627481517.9543622,0.0,0.0
1627481518.0023491,0.0,0.0
1627481518.0422149,0.0,0.0
1627481518.0931258,0.0,0.0
1627481518.1221166,0.0,0.0
1627481518.1721866,0.0,0.0
1627481518.2011075,0.0,0.0
1627481518.249952,0.0,0.0
1627481518.270516,0.0,0.0
1627481518.3190446,0.0,0.0
1627481518.362886,0.0,0.0
1627481518.4118164,0.0,0.0
1627481518.4557846,0.0,0.0
1627481518.4711893,0.0,0.0
1627481518.5215743,0.0,0.0
1627481518.5620542,0.0,0.0
1627481518.6125097,0.0,0.0
1627481518.6573954,0.0,0.0
1627481518.7062662,0.0,0.0
1627481518.7495587,0.0,0.0
1627481518.7650018,0.0,0.0
1627481518.8157368,0.0,0.0
1627481518.8556466,0.0,0.0
1627481518.9045107,0.0,0.0
1627481518.924127,0.0,0.0
1627481518.9732656,0.0,0.0
1627481518.996975,0.0,0.0
1627481519.048291,0.0,0.0
1627481519.09295,0.0,0.0
1627481519.1405137,0.0,0.0
1627481519.185004,0.0,0.0
1627481519.2043893,0.0,0.0
1627481519.2531002,0.0,0.0
1627481519.269613,0.0,0.0
1627481519.3171146,0.0,0.0
1627481519.3612585,0.0,0.0
1627481519.3806608,0.0,0.0
1627481519.4235709,0.0,0.0
1627481519.443184,0.0,0.0
1627481519.493178,0.0,0.0
1627481519.5370743,0.0,0.0
1627481519.552602,0.0,0.0
1627481519.6009321,0.0,0.0
1627481519.6259525,0.0,0.0
1627481519.6696177,0.0,0.0
1627481519.718522,0.0,0.0
