time,v,omega
1627645364.4690566,0.0,0.0
1627645364.5200784,0.0,0.0
1627645364.544987,0.0,0.0
1627645364.5912142,0.0,0.0
1627645364.6100292,0.0,0.0
1627645364.656803,0.0,0.0
1627645364.7046664,0.0,0.0
1627645364.7338607,0.0,0.0
1627645364.775581,0.0,0.0
1627645364.794126,0.0,0.0
1627645364.8439662,0.0,0.0
1627645364.8671496,0.0,0.0
1627645364.91389,0.0,0.0
1627645364.955673,0.0,0.0
1627645364.9699914,0.0,0.0
1627645365.02342,0.0,0.0
1627645365.0659068,0.0,0.0
1627645365.0874546,0.0,0.0
1627645365.1341696,0.0,0.0
1627645365.148503,0.0,0.0
1627645365.1970253,0.0,0.0
1627645365.2410884,0.0,0.0
1627645365.2595356,0.0,0.0
1627645365.3026638,0.0,0.0
1627645365.336498,0.0,0.0
1627645365.3867748,0.0,0.0
1627645365.4300961,0.0,0.0
1627645365.4450321,0.0,0.0
1627645365.4882007,0.0,0.0
1627645365.535867,0.0,0.0
1627645365.5507302,0.0,0.0
1627645365.5986302,0.0,0.0
1627645365.6421185,0.0,0.0
1627645365.688922,0.0,0.0
1627645365.7285202,0.0,0.0
1627645365.7778416,0.0,0.0
1627645365.8085556,0.0,0.0
1627645365.8600984,0.0,0.0
1627645365.884707,0.0,0.0
1627645365.9320796,0.0,0.0
1627645365.9748526,0.0,0.0
1627645365.993932,0.0,0.0
1627645366.0410633,0.0,0.0
1627645366.0553522,0.0,0.0
1627645366.1051157,0.0,0.0
1627645366.1496143,0.0,0.0
1627645366.16901,0.0,0.0
1627645366.2168443,0.0,0.0
1627645366.2376077,0.0,0.0
1627645366.2813709,0.0,0.0
1627645366.330528,0.0,0.0
1627645366.3465016,0.0,0.0
1627645366.3915377,0.0,0.0
1627645366.444935,0.0,0.0
1627645366.4900835,0.0,0.0
1627645366.5162158,0.0,0.0
1627645366.5603037,0.0,0.0
1627645366.6128612,0.0,0.0
1627645366.6274445,0.0,0.0
1627645366.6783667,0.0,0.0
1627645366.698524,0.0,0.0
1627645366.7447934,0.0,0.0
1627645366.7993882,0.0,0.0
1627645366.815423,0.0,0.0
1627645366.901005,0.0,0.0
1627645366.9583702,0.0,0.0
1627645367.0011873,0.0,0.0
1627645367.0211332,0.0,0.0
1627645367.0661516,0.0,0.0
1627645367.1076317,0.0,0.0
1627645367.150861,0.0,0.0
1627645367.1986926,0.0,0.0
1627645367.2133756,0.0,0.0
1627645367.2556393,0.0,0.0
1627645367.3079076,0.0,0.0
1627645367.3235006,0.0,0.0
1627645367.3742757,0.0,0.0
1627645367.3971066,0.0,0.0
1627645367.4420168,0.0,0.0
1627645367.4906816,0.0,0.0
1627645367.5066211,0.0,0.0
1627645367.5557537,0.0,0.0
1627645367.5968385,0.0,0.0
1627645367.647173,0.0,0.0
1627645367.6915917,0.0,0.0
1627645367.7389307,0.0,0.0
1627645367.7853763,0.0,0.0
1627645367.8002539,0.0,0.0
1627645367.8495443,0.0,0.0
1627645367.8728483,0.0,0.0
1627645367.91599,0.0,0.0
1627645367.959925,0.0,0.0
1627645368.0085716,0.0,0.0
1627645368.0384057,0.0,0.0
1627645368.085068,0.0,0.0
1627645368.1090727,0.0,0.0
1627645368.1567454,0.0,0.0
1627645368.1991837,0.0,0.0
1627645368.2143157,0.0,0.0
1627645368.262391,0.0,0.0
1627645368.3059864,0.0,0.0
1627645368.3313444,0.0,0.0
1627645368.3819606,0.0,0.0
1627645368.3963816,0.0,0.0
1627645368.4451153,0.0,0.0
1627645368.4874291,0.0,0.0
1627645368.5356045,0.0,0.0
1627645368.5594714,0.0,0.0
1627645368.6088052,0.0,0.0
1627645368.6514766,0.0,0.0
1627645368.6705785,0.0,0.0
1627645368.7137988,0.0,0.0
1627645368.732872,0.0,0.0
1627645368.7795618,0.0,0.0
1627645368.8225164,0.0,0.0
1627645368.8368745,0.0,0.0
1627645368.8866842,0.0,0.0
1627645368.9152007,0.0,0.0
1627645368.9622037,0.0,0.0
1627645369.0054204,0.0,0.0
1627645369.0245607,0.0,0.0
1627645369.0682988,0.0,0.0
1627645369.1155434,0.0,0.0
1627645369.1306863,0.0,0.0
1627645369.1805813,0.0,0.0
1627645369.2234929,0.0,0.0
1627645369.242829,0.0,0.0
1627645369.289682,0.0,0.0
1627645369.304752,0.0,0.0
1627645369.3516753,0.0,0.0
1627645369.394619,0.0,0.0
1627645369.442678,0.0,0.0
1627645369.4871,0.0,0.0
1627645369.5179782,0.0,0.0
1627645369.5633934,0.0,0.0
1627645369.5781693,0.0,0.0
1627645369.6224139,0.0,0.0
1627645369.6626205,0.0,0.0
1627645369.711191,0.0,0.0
1627645369.7357492,0.0,0.0
1627645369.78487,0.0,0.0
1627645369.8292003,0.0,0.0
1627645369.8795874,0.0,0.0
1627645369.919573,0.0,0.0
1627645369.9393075,0.0,0.0
1627645369.9834094,0.0,0.0
1627645370.0355694,0.0,0.0
1627645370.0555828,0.0,0.0
1627645370.0987031,0.0,0.0
1627645370.1232514,0.0,0.0
1627645370.1670365,0.0,0.0
1627645370.2175171,0.0,0.0
1627645370.2326658,0.0,0.0
1627645370.2760463,0.0,0.0
1627645370.3248734,0.0,0.0
1627645370.345161,0.0,0.0
1627645370.3920648,0.0,0.0
1627645370.4170094,0.0,0.0
1627645370.460543,0.0,0.0
1627645370.5095696,0.0,0.0
1627645370.5321846,0.0,0.0
1627645370.5768268,0.0,0.0
1627645370.6192186,0.0,0.0
1627645370.6626635,0.0,0.0
1627645370.711743,0.0,0.0
1627645370.7276902,0.0,0.0
1627645370.7729397,0.0,0.0
1627645370.8184152,0.0,0.0
1627645370.8423617,0.0,0.0
1627645370.8880782,0.0,0.0
1627645370.9077394,0.0,0.0
1627645370.9505196,0.0,0.0
1627645370.9701006,0.0,0.0
1627645371.0158992,0.0,0.0
1627645371.0661457,0.0,0.0
1627645371.0806959,0.0,0.0
1627645371.1284535,0.0,0.0
1627645371.166525,0.0,0.0
1627645371.2098277,0.0,0.0
1627645371.238601,0.0,0.0
1627645371.2823308,0.0,0.0
1627645371.3298469,0.0,0.0
1627645371.3448882,0.0,0.0
1627645371.3878841,0.0,0.0
1627645371.4317248,0.0,0.0
1627645371.4796324,0.0,0.0
1627645371.5051491,0.0,0.0
1627645371.5526443,0.0,0.0
1627645371.5722008,0.0,0.0
1627645371.6196797,0.0,0.0
1627645371.6622202,0.0,0.0
1627645371.6773722,0.0,0.0
1627645371.7256663,0.0,0.0
1627645371.7647183,0.0,0.0
1627645371.8133492,0.0,0.0
1627645371.8563497,0.0,0.0
1627645371.878284,0.0,0.0
1627645371.9208944,0.0,0.0
1627645371.9407425,0.0,0.0
1627645371.9876328,0.0,0.0
1627645372.0323448,0.0,0.0
1627645372.0536652,0.0,0.0
1627645372.0971076,0.0,0.0
1627645372.1206443,0.0,0.0
1627645372.1677132,0.0,0.0
1627645372.2106154,0.0,0.0
1627645372.2299821,0.0,0.0
1627645372.2767649,0.0,0.0
1627645372.2958748,0.0,0.0
1627645372.3432899,0.0,0.0
1627645372.3860555,0.0,0.0
1627645372.4335735,0.0,0.0
1627645372.4762144,0.0,0.0
1627645372.4901617,0.0,0.0
1627645372.537731,0.0,0.0
1627645372.5709894,0.0,0.0
1627645372.6196184,0.0,0.0
1627645372.6434069,0.0,0.0
1627645372.692097,0.0,0.0
1627645372.735898,0.0,0.0
1627645372.7559144,0.0,0.0
1627645372.7984254,0.0,0.0
1627645372.8180728,0.0,0.0
1627645372.8669636,0.0,0.0
1627645372.914791,0.0,0.0
1627645372.9349499,0.0,0.0
1627645372.980905,0.0,0.0
1627645373.0017586,0.0,0.0
1627645373.0527506,0.0,0.0
1627645373.077884,0.0,0.0
1627645373.1249402,0.0,0.0
1627645373.1683133,0.0,0.0
1627645373.2188964,0.0,0.0
1627645373.265671,0.0,0.0
1627645373.2867277,0.0,0.0
1627645373.329027,0.0,0.0
1627645373.3480701,0.0,0.0
1627645373.395769,0.0,0.0
1627645373.4216127,0.0,0.0
1627645373.4698493,0.0,0.0
1627645373.513611,0.0,0.0
1627645373.562736,0.0,0.0
1627645373.606253,0.0,0.0
1627645373.6208622,0.0,0.0
1627645373.6677997,0.0,0.0
1627645373.7073505,0.0,0.0
1627645373.7505648,0.0,0.0
1627645373.7995367,0.0,0.0
1627645373.815716,0.0,0.0
1627645373.8578086,0.0,0.0
1627645373.9088495,0.0,0.0
1627645373.9236138,0.0,0.0
1627645373.970671,0.0,0.0
1627645373.9899697,0.0,0.0
1627645374.0377848,0.0,0.0
1627645374.0812125,0.0,0.0
1627645374.1006744,0.0,0.0
1627645374.144724,0.0,0.0
1627645374.1689525,0.0,0.0
1627645374.2119048,0.0,0.0
1627645374.2609167,0.0,0.0
1627645374.2818255,0.0,0.0
1627645374.3258135,0.0,0.0
1627645374.3750603,0.0,0.0
1627645374.3917718,0.0,0.0
1627645374.4416249,0.0,0.0
1627645374.4616547,0.0,0.0
1627645374.5055544,0.0,0.0
1627645374.555608,0.0,0.0
1627645374.5701408,0.0,0.0
1627645374.614322,0.0,0.0
1627645374.657481,0.0,0.0
1627645374.6764653,0.0,0.0
1627645374.719823,0.0,0.0
1627645374.7652104,0.0,0.0
1627645374.8074317,0.0,0.0
1627645374.8367162,0.0,0.0
1627645374.8857932,0.0,0.0
1627645374.9296854,0.0,0.0
1627645374.9726965,0.0,0.0
1627645375.0218983,0.0,0.0
1627645375.0394034,0.0,0.0
1627645375.0925648,0.0,0.0
1627645375.1323588,0.0,0.0
1627645375.1801493,0.0,0.0
1627645375.2262068,0.0,0.0
1627645375.2748213,0.0,0.0
1627645375.2944813,0.0,0.0
1627645375.3458583,0.0,0.0
1627645375.3784928,0.0,0.0
1627645375.4328728,0.0,0.0
1627645375.454671,0.0,0.0
1627645375.5042324,0.0,0.0
1627645375.5305448,0.0,0.0
1627645375.5825071,0.0,0.0
1627645375.6281605,0.0,0.0
1627645375.6787682,0.0,0.0
1627645375.7248003,0.0,0.0
1627645375.7740889,0.0,0.0
1627645375.8196778,0.0,0.0
1627645375.849948,0.0,0.0
1627645375.8940842,0.0,0.0
1627645375.915018,0.0,0.0
1627645375.968966,0.0,0.0
1627645375.9888718,0.0,0.0
1627645376.0407007,0.0,0.0
1627645376.0859725,0.0,0.0
1627645376.101964,0.0,0.0
1627645376.1531012,0.0,0.0
1627645376.1683707,0.0,0.0
1627645376.2190614,0.0,0.0
1627645376.2624056,0.0,0.0
1627645376.3115098,0.0,0.0
1627645376.3370724,0.0,0.0
1627645376.3850038,0.0,0.0
1627645376.429803,0.0,0.0
1627645376.4781098,0.0,0.0
1627645376.525168,0.0,0.0
1627645376.5520213,0.0,0.0
1627645376.601668,0.0,0.0
1627645376.6175597,0.0,0.0
1627645376.668083,0.0,0.0
1627645376.6925378,0.0,0.0
1627645376.7423387,0.0,0.0
1627645376.7868357,0.0,0.0
1627645376.8262024,0.0,0.0
1627645376.9100475,0.0,0.0
1627645376.9253926,0.0,0.0
1627645376.9800649,0.0,0.0
1627645377.0011232,0.0,0.0
1627645377.048926,0.0,0.0
1627645377.1005545,0.0,0.0
1627645377.117092,0.0,0.0
1627645377.168634,0.0,0.0
1627645377.2149496,0.0,0.0
1627645377.2668095,0.0,0.0
1627645377.2831547,0.0,0.0
1627645377.3331008,0.0,0.0
1627645377.3690135,0.0,0.0
1627645377.4205596,0.0,0.0
1627645377.4416041,0.0,0.0
1627645377.4917853,0.0,0.0
1627645377.5420923,0.0,0.0
1627645377.5626338,0.0,0.0
1627645377.613947,0.0,0.0
1627645377.6360865,0.0,0.0
1627645377.687383,0.0,0.0
1627645377.71475,0.0,0.0
1627645377.760255,0.0,0.0
1627645377.811892,0.0,0.0
1627645377.8275404,0.0,0.0
1627645377.8780372,0.0,0.0
1627645377.9223802,0.0,0.0
1627645377.9757946,0.0,0.0
1627645377.9915755,0.0,0.0
1627645378.0386117,0.0,0.0
1627645378.0912979,0.0,0.0
1627645378.112967,0.0,0.0
1627645378.162436,0.0,0.0
1627645378.1892154,0.0,0.0
1627645378.2375185,0.0,0.0
1627645378.2835479,0.0,0.0
1627645378.305812,0.0,0.0
1627645378.384692,0.0,0.0
1627645378.4623647,0.0,0.0
1627645378.5268645,0.0,0.0
1627645378.546885,0.0,0.0
1627645378.5904248,0.0,0.0
1627645378.639354,0.0,0.0
1627645378.6540997,0.0,0.0
1627645378.6988041,0.0,0.0
1627645378.7438266,0.0,0.0
1627645378.7953634,0.0,0.0
1627645378.8163705,0.0,0.0
1627645378.867799,0.0,0.0
1627645378.9125302,0.0,0.0
1627645378.940395,0.0,0.0
1627645378.9864924,0.0,0.0
1627645379.0021372,0.0,0.0
1627645379.053205,0.0,0.0
1627645379.0945244,0.0,0.0
1627645379.1450117,0.0,0.0
1627645379.1837285,0.0,0.0
1627645379.2507296,0.0,0.0
1627645379.3172767,0.0,0.0
1627645379.3709142,0.0,0.0
1627645379.3939054,0.0,0.0
1627645379.4481912,0.0,0.0
1627645379.4773972,0.0,0.0
1627645379.5345783,0.0,0.0
1627645379.5860891,0.0,0.0
1627645379.6408143,0.0,0.0
1627645379.6621306,0.0,0.0
1627645379.7150404,0.0,0.0
1627645379.7424378,0.0,0.0
1627645379.7945545,0.0,0.0
1627645379.844379,0.0,0.0
1627645379.8962932,0.0,0.0
1627645379.9400346,0.0,0.0
1627645379.9938686,0.0,0.0
1627645380.0144756,0.0,0.0
1627645380.0668945,0.0,0.0
1627645380.1154864,0.0,0.0
1627645380.1355398,0.0,0.0
1627645380.1899583,0.0,0.0
1627645380.205576,0.0,0.0
1627645380.258096,0.0,0.0
1627645380.2792792,0.0,0.0
1627645380.329605,0.0,0.0
1627645380.3570204,0.0,0.0
1627645380.410781,0.0,0.0
1627645380.454522,0.0,0.0
1627645380.5062864,0.0,0.0
1627645380.5329375,0.0,0.0
1627645380.5848172,0.0,0.0
1627645380.6319916,0.0,0.0
1627645380.653421,0.0,0.0
1627645380.7063386,0.0,0.0
1627645380.723577,0.0,0.0
1627645380.7708793,0.0,0.0
1627645380.820531,0.0,0.0
1627645380.8726735,0.0,0.0
1627645380.8887265,0.0,0.0
1627645380.939173,0.0,0.0
1627645380.9872339,0.0,0.0
1627645381.043819,0.0,0.0
1627645381.0925746,0.0,0.0
1627645381.145042,0.0,0.0
1627645381.1921625,0.0,0.0
1627645381.2433193,0.0,0.0
1627645381.2904403,0.0,0.0
1627645381.3411214,0.0,0.0
1627645381.3885155,0.0,0.0
1627645381.4079356,0.0,0.0
1627645381.4626093,0.0,0.0
1627645381.477875,0.0,0.0
1627645381.530599,0.0,0.0
1627645381.5788405,0.0,0.0
1627645381.595256,0.0,0.0
1627645381.6537533,0.0,0.0
1627645381.6705115,0.0,0.0
1627645381.7235644,0.0,0.0
1627645381.7587545,0.0,0.0
1627645381.8073578,0.0,0.0
1627645381.839698,0.0,0.0
1627645381.8928652,0.0,0.0
1627645381.9194791,0.0,0.0
1627645381.9692473,0.0,0.0
1627645382.020738,0.0,0.0
1627645382.0349526,0.0,0.0
1627645382.0816216,0.0,0.0
1627645382.1264968,0.0,0.0
1627645382.2082007,0.0,0.0
1627645382.2398455,0.0,0.0
1627645382.2895186,0.0,0.0
1627645382.3159077,0.0,0.0
1627645382.3658495,0.0,0.0
1627645382.4101374,0.0,0.0
1627645382.4303572,0.0,0.0
1627645382.470775,0.0,0.0
1627645382.4957845,0.0,0.0
1627645382.5448792,0.0,0.0
1627645382.5901477,0.0,0.0
1627645382.6116354,0.0,0.0
1627645382.6571462,0.0,0.0
1627645382.6774647,0.0,0.0
1627645382.7280102,0.0,0.0
1627645382.7577822,0.0,0.0
1627645382.8096447,0.0,0.0
1627645382.8488474,0.0,0.0
1627645382.8971553,0.0,0.0
1627645382.94354,0.0,0.0
1627645383.0291119,0.0,0.0
1627645383.0532417,0.0,0.0
1627645383.101651,0.0,0.0
1627645383.1253443,0.0,0.0
1627645383.1756103,0.0,0.0
1627645383.2221682,0.0,0.0
1627645383.2496622,0.0,0.0
1627645383.2913206,0.0,0.0
1627645383.3117316,0.0,0.0
