time,v,omega
1627645364.4724932,0.0,0.0
1627645367.9758108,0.0,0.0
1627645368.0167708,-0.0,0.0
1627645368.0246892,-0.0,-0.0
1627645368.0328064,-0.0,-0.0
1627645368.0407133,-0.0,-0.0
1627645368.0488038,-0.0,-0.0
1627645368.056689,-0.0,-0.0
1627645368.0647702,0.13109444081783295,-0.0
1627645368.0727375,0.1900387555360794,-0.0
1627645368.0808697,0.24893948435783386,-0.0
1627645368.0887225,0.32257628440856934,-0.0
1627645368.0968883,0.3814769983291626,-0.0
1627645368.1047218,0.410949170589447,-0.0
1627645368.1127756,0.44042134284973145,-0.0
1627645368.1207244,0.4993220567703247,-0.0
1627645368.1286986,0.5287505984306335,-0.0
1627645368.1367717,0.6171234846115112,-0.0
1627645368.1447577,0.6760678291320801,-0.0
1627645368.152814,0.7349685430526733,-0.0
1627645368.160695,0.8086053729057312,-0.0
1627645368.1687045,0.8969782590866089,-0.0
1627645368.176789,0.9853510856628418,-0.0
1627645368.1848366,1.0,-0.0
1627645368.2349756,1.0,-0.0
1627645368.2809093,1.0,-0.0
1627645368.2887897,1.0,-0.0
1627645368.2967937,1.0,-0.0
1627645368.3047798,1.0,-0.0
1627645368.3128042,1.0,-0.0
1627645368.3207269,1.0,-0.0
1627645368.328756,1.0,-0.0
1627645368.336761,1.0,-0.0
1627645368.344693,1.0,0.03643779251724482
1627645368.352771,1.0,0.11300872787833215
1627645368.3607092,1.0,0.15132254213094712
1627645368.3687322,1.0,0.18957966566085815
1627645368.3767896,1.0,0.22789348959922792
1627645368.3848014,1.0,0.2662072941660881
1627645368.3927312,1.0,0.30446441769599913
1627645368.4009745,1.0,0.34277824163436893
1627645368.4104652,1.0,0.3810353457927704
1627645368.4167697,1.0,0.438506081700325
1627645368.4407775,1.0,0.47676322460174564
1627645368.456793,1.0,0.5150770097970963
1627645368.4647596,1.0,0.553390833735466
1627645368.4727225,1.0,0.5916479378938675
1627645368.4807658,1.0,0.6299617618322373
1627645368.4887464,1.0,0.7065327286720277
1627645368.4967396,1.0,0.7831602990627289
1627645368.5046918,1.0,0.8788881778717041
1627645368.5127625,1.0,0.9171452820301056
1627645368.5206861,1.0,1.0703438580036164
1627645368.5287855,1.0,1.1086009621620179
1627645368.5367744,1.0,1.223485714197159
1627645368.5447545,1.0,1.3
1627645368.5947995,1.0,1.3
1627645368.600711,0.9853510856628418,1.3
1627645368.6509128,0.9853510856628418,1.3
1627645368.6808672,0.9558789730072021,1.3
1627645368.6887746,0.9264068007469177,1.3
1627645368.6967754,0.8969782590866089,1.3
1627645368.704733,0.8675060868263245,1.3
1627645368.7127197,0.8380774855613708,1.3
1627645368.7208352,0.7643970847129822,1.3
1627645368.7288756,0.7349685430526733,1.3
1627645368.7367632,0.7054963707923889,1.3
1627645368.7447631,0.6760678291320801,1.3
1627645368.7527583,0.6465956568717957,1.3
1627645368.7607324,0.5876949429512024,1.3
1627645368.7688127,0.5287505984306335,1.3
1627645368.7767775,0.4993220567703247,1.3
1627645368.7848008,0.4698498845100403,1.3
1627645368.7926934,0.44042134284973145,1.3
1627645368.8104987,0.410949170589447,1.3
1627645368.816795,0.3814769983291626,1.3
1627645368.8246527,0.35204845666885376,1.3
1627645368.8328671,0.32257628440856934,1.3
1627645368.8488314,0.2784116566181183,1.3
1627645368.8988242,0.2784116566181183,1.3
1627645368.9489005,0.2784116566181183,1.3
1627645368.9990132,0.2784116566181183,1.3
1627645369.0088413,0.24893948435783386,1.3
1627645369.0588043,0.24893948435783386,1.3
1627645369.1089473,0.24893948435783386,1.3
1627645369.159017,0.24893948435783386,1.3
1627645369.2093418,0.24893948435783386,1.3
1627645369.2487824,0.21946732699871063,1.3
1627645369.2567387,0.1900387555360794,1.3
1627645369.3068395,0.1900387555360794,1.3
1627645369.3569376,0.1900387555360794,1.3
1627645369.3928115,0.16056659817695618,1.3
1627645369.4428878,0.16056659817695618,1.3
1627645369.4929607,0.16056659817695618,1.3
1627645369.54307,0.16056659817695618,1.3
1627645369.5931325,0.16056659817695618,1.3
1627645369.6247196,0.2784116566181183,1.3
1627645369.6327615,0.32257628440856934,1.3
1627645369.6426563,0.35204845666885376,1.3
1627645369.6487448,0.3814769983291626,1.3
1627645369.6647532,0.410949170589447,1.3
1627645369.6726944,0.44042134284973145,1.3
1627645369.680993,0.4698498845100403,1.3
1627645369.6888435,0.4993220567703247,1.3
1627645369.6967692,0.5287505984306335,1.3
1627645369.7048018,0.558222770690918,1.3
1627645369.712778,0.6465956568717957,1.3
1627645369.7207818,0.6760678291320801,1.3
1627645369.7287607,0.7349685430526733,1.3
1627645369.7367096,0.7643970847129822,1.3
1627645369.7447855,0.8675060868263245,1.3
1627645369.7527258,1.0,1.3
1627645369.8048563,1.0,1.1852286100387575
1627645369.8087425,1.0,1.1086009621620179
1627645369.8167162,1.0,1.0320300340652466
1627645369.8247523,1.0,0.9554591059684754
1627645369.832758,1.0,0.8214174807071686
1627645369.8408098,1.0,0.7831602990627289
1627645369.8487835,1.0,0.7065327286720277
1627645369.8567417,1.0,0.668275547027588
1627645369.8647032,1.0,0.6299617618322373
1627645369.8727736,1.0,0.5916479378938675
1627645369.92283,1.0,0.5916479378938675
1627645369.972907,1.0,0.5916479378938675
1627645369.9927328,1.0,0.553390833735466
1627645370.0087965,1.0,0.5150770097970963
1627645370.0247138,1.0,0.47676322460174564
1627645370.0329783,1.0,0.438506081700325
1627645370.0487852,1.0,0.3810353457927704
1627645370.0566947,1.0,0.34277824163436893
1627645370.0727537,1.0,0.30446441769599913
1627645370.0808322,1.0,0.2662072941660881
1627645370.0887322,1.0,0.22789348959922792
1627645370.0967362,1.0,0.18957966566085815
1627645370.1128013,1.0,0.15132254213094712
1627645370.1367238,1.0,0.11300872787833215
1627645370.1767898,1.0,0.07469492331147194
1627645370.2167387,1.0,0.03643779251724482
1627645370.266842,1.0,0.03643779251724482
1627645370.2810767,1.0,-0.0
1627645370.2893133,1.0,-0.0
1627645370.3048558,1.0,-0.0
1627645370.3288376,1.0,-0.0
1627645370.376752,1.0,-0.0
1627645370.3927896,1.0,-0.0
1627645370.4247956,1.0,-0.0
1627645370.4750245,1.0,-0.0
1627645370.496742,1.0,-0.0
1627645370.5468328,1.0,-0.0
1627645370.596937,1.0,-0.0
1627645370.60079,1.0,-0.0
1627645370.6508577,1.0,-0.0
1627645370.7009563,1.0,-0.0
1627645370.7509582,1.0,-0.0
1627645370.7767205,1.0,-0.0
1627645370.8008206,1.0,-0.0
1627645370.832752,1.0,-0.0
1627645370.8568096,1.0,-0.0
1627645370.864746,1.0,-0.0
