time,v,omega
1629114699.8560097,0.0,0.0
1629114699.915369,0.0,0.0
1629114699.9866223,0.0,0.0
1629114699.998767,0.0,0.0
1629114700.053605,0.0,0.0
1629114700.1491992,0.0,0.0
1629114700.1546342,0.0,0.0
1629114700.157158,0.0,0.0
1629114700.175621,0.0,0.0
1629114700.2813594,0.0,0.0
1629114700.2854548,0.0,0.0
1629114700.2854633,0.0,0.0
1629114700.410484,0.0,0.0
1629114700.4143503,0.0,0.0
1629114700.4143605,0.0,0.0
1629114700.4335392,0.0,0.0
1629114700.5415058,0.0,0.0
1629114700.5489953,0.0,0.0
1629114700.5490067,0.0,0.0
1629114700.6733086,0.0,0.0
1629114700.6763754,0.0,0.0
1629114700.6764243,0.0,0.0
1629114700.705662,0.0,0.0
1629114700.8070803,0.0,0.0
1629114700.8129103,0.0,0.0
1629114700.8129215,0.0,0.0
1629114700.8424478,0.0,0.0
1629114700.9413261,0.0,0.0
1629114700.9505174,0.0,0.0
1629114700.9530501,0.0,0.0
1629114700.9764266,0.0,0.0
1629114701.0361474,0.0,0.0
1629114701.0457647,0.0,0.0
1629114701.2213645,0.0,0.0
1629114701.2224097,0.0,0.0
1629114701.22243,0.0,0.0
1629114701.22245,0.0,0.0
1629114701.2224731,0.0,0.0
1629114701.379928,0.0,0.0
1629114701.386146,0.0,0.0
1629114701.3861609,0.0,0.0
1629114701.3861687,0.0,0.0
1629114701.4113715,0.0,0.0
1629114701.5540798,0.0,0.0
1629114701.5605159,0.0,0.0
1629114701.560524,0.0,0.0
1629114701.574225,0.0,0.0
1629114701.5883126,0.0,0.0
1629114701.6491737,0.0,0.0
1629114701.673707,0.0,0.0
1629114701.786316,0.0,0.0
1629114701.7906144,0.0,0.0
1629114701.7906263,0.0,0.0
1629114701.9509492,0.0,0.0
1629114701.9575884,0.0,0.0
1629114701.9576116,0.0,0.0
1629114701.9576209,0.0,0.0
1629114701.9625459,0.0,0.0
1629114702.1227114,0.0,0.0
1629114702.1417277,0.0,0.0
1629114702.1417491,0.0,0.0
1629114702.1417735,0.0,0.0
1629114702.1418,0.0,0.0
1629114702.2955577,0.0,0.0
1629114702.3084219,0.0,0.0
1629114702.3084638,0.0,0.0
1629114702.3084695,0.0,0.0
1629114702.3220713,0.0,0.0
1629114702.3907158,0.0,0.0
1629114702.395999,0.0,0.0
1629114702.4153342,0.0,0.0
1629114702.5651853,0.0,0.0
1629114702.571191,0.0,0.0
1629114702.571194,0.0,0.0
1629114702.5757725,0.0,0.0
1629114702.591533,0.0,0.0
1629114702.7357798,0.0,0.0
1629114702.747886,0.0,0.0
1629114702.747899,0.0,0.0
1629114702.774908,0.0,0.0
1629114702.9093812,0.0,0.0
1629114702.9174695,0.0,0.0
1629114702.91752,0.0,0.0
1629114702.9175408,0.0,0.0
1629114703.0826273,0.0,0.0
1629114703.0875032,0.0,0.0
1629114703.0875173,0.0,0.0
1629114703.0875247,0.0,0.0
1629114703.0875304,0.0,0.0
1629114703.121953,0.0,0.0
1629114703.2560236,0.0,0.0
1629114703.2648814,0.0,0.0
1629114703.2649708,0.0,0.0
1629114703.2678132,0.0,0.0
1629114703.4306142,0.0,0.0
1629114703.4378972,0.0,0.0
1629114703.437901,0.0,0.0
1629114703.4379056,0.0,0.0
1629114703.460926,0.0,0.0
1629114703.6020463,0.0,0.0
1629114703.6143088,0.0,0.0
1629114703.6143122,0.0,0.0
1629114703.6143148,0.0,0.0
1629114703.6400027,0.0,0.0
1629114703.739636,0.0,0.0
1629114703.749753,0.0,0.0
1629114703.7513907,0.0,0.0
1629114703.762934,0.0,0.0
1629114703.8743958,0.0,0.0
1629114703.8807187,0.0,0.0
1629114703.8807538,0.0,0.0
1629114703.9139159,0.0,0.0
1629114703.9674582,0.0,0.0
1629114703.9879065,0.0,0.0
1629114704.0351791,0.0,0.0
1629114704.051158,0.0,0.0
1629114704.1027815,0.0,0.0
1629114704.146314,0.0,0.0
1629114704.1968572,0.0,0.0
1629114704.2733004,0.0,0.0
1629114704.3393748,0.0,0.0
1629114704.360479,0.0,0.0
1629114704.4117754,0.0,0.0
1629114704.4387538,0.0,0.0
1629114704.4901721,0.0,0.0
1629114704.5377495,0.0,0.0
1629114704.5916812,0.0,0.0
1629114704.6393864,0.0,0.0
1629114704.6930425,0.0,0.0
1629114704.7398968,0.0,0.0
1629114704.792512,0.0,0.0
1629114704.8340023,0.0,0.0
1629114704.8872757,0.0,0.0
1629114704.9075956,0.0,0.0
1629114704.959218,0.0,0.0
1629114704.985376,0.0,0.0
1629114705.0367382,0.0,0.0
1629114705.0836535,0.0,0.0
1629114705.099418,0.0,0.0
1629114705.1493201,0.0,0.0
1629114705.1650875,0.0,0.0
1629114705.2121587,0.0,0.0
1629114705.2609317,0.0,0.0
1629114705.2828002,0.0,0.0
1629114705.3308496,0.0,0.0
1629114705.3521922,0.0,0.0
1629114705.4027996,0.0,0.0
1629114705.4476154,0.0,0.0
1629114705.4633055,0.0,0.0
1629114705.5178123,0.0,0.0
1629114705.534255,0.0,0.0
1629114705.5859923,0.0,0.0
1629114705.6328943,0.0,0.0
1629114705.6821847,0.0,0.0
1629114705.738465,0.0,0.0
1629114705.7712183,0.0,0.0
1629114705.8331797,0.0,0.0
1629114705.8521585,0.0,0.0
1629114705.9001791,0.0,0.0
1629114705.947893,0.0,0.0
1629114705.9620702,0.0,0.0
1629114706.0107312,0.0,0.0
1629114706.052546,0.0,0.0
1629114706.0664425,0.0,0.0
1629114706.1213157,0.0,0.0
1629114706.157606,0.0,0.0
1629114706.1787841,0.0,0.0
1629114706.224251,0.0,0.0
1629114706.2399683,0.0,0.0
1629114706.2868624,0.0,0.0
1629114706.3332503,0.0,0.0
1629114706.3501084,0.0,0.0
1629114706.40138,0.0,0.0
1629114706.4442043,0.0,0.0
1629114706.497063,0.0,0.0
1629114706.5208309,0.0,0.0
1629114706.6170936,0.0,0.0
1629114706.663188,0.0,0.0
1629114706.714591,0.0,0.0
1629114706.765956,0.0,0.0
1629114706.8152692,0.0,0.0
1629114706.8605049,0.0,0.0
1629114706.8755364,0.0,0.0
1629114706.9251084,0.0,0.0
1629114706.96523,0.0,0.0
1629114707.0148861,0.0,0.0
1629114707.0398777,0.0,0.0
1629114707.0885582,0.0,0.0
1629114707.134194,0.0,0.0
1629114707.1526875,0.0,0.0
1629114707.1986318,0.0,0.0
1629114707.218131,0.0,0.0
1629114707.2687764,0.0,0.0
1629114707.2938585,0.0,0.0
1629114707.3385642,0.0,0.0
1629114707.3833122,0.0,0.0
1629114707.4061024,0.0,0.0
