time,v,omega
1629114699.8338518,0.0,0.0
1629114700.9330645,0.0,0.0
1629114700.950744,-0.0,0.0
1629114700.9589744,-0.0,0.0
1629114700.9659252,-0.0,0.0
1629114700.9744046,-0.0,-0.0
1629114700.9819312,-0.0,-0.0
1629114700.9898362,-0.0,-0.0
1629114700.997969,-0.0,-0.0
1629114701.005829,-0.0,-0.0
1629114701.0152454,0.013292990624904633,-0.0
1629114701.0220206,0.13109444081783295,-0.0
1629114701.0298374,0.1900387555360794,-0.0
1629114701.0378165,0.24893948435783386,-0.0
1629114701.0458918,0.2931041121482849,-0.0
1629114701.053955,0.35204845666885376,-0.0
1629114701.061821,0.410949170589447,-0.0
1629114701.0698395,0.44042134284973145,-0.0
1629114701.0794268,0.4993220567703247,-0.0
1629114701.0859563,0.558222770690918,-0.0
1629114701.0938704,0.6171234846115112,-0.0
1629114701.1019382,0.6760678291320801,-0.0
1629114701.1097991,0.7349685430526733,-0.0
1629114701.1179209,0.7643970847129822,-0.0
1629114701.1260738,0.823341429233551,-0.0
1629114701.1338437,0.9411428570747375,-0.0
1629114701.1422975,1.0,-0.0
1629114701.150032,1.0,-0.0
1629114701.1660042,1.0,-0.0
1629114701.173832,1.0,-0.0
1629114701.1898396,1.0,-0.0
1629114701.2059832,1.0,-0.0
1629114701.2559075,1.0,-0.0
1629114701.3060026,1.0,-0.0
1629114701.3560631,1.0,-0.0
1629114701.406379,1.0,-0.0
1629114701.456189,1.0,-0.0
1629114701.461851,1.0,-0.0
1629114701.4699411,1.0,-0.0
1629114701.4778283,1.0,-0.0
1629114701.4859376,1.0,-0.03638111632317305
1629114701.4938858,1.0,-0.07463824711740018
1629114701.5019429,1.0,-0.09379515424370766
1629114701.5098636,1.0,-0.20867989659309388
1629114701.5178657,1.0,-0.30440773665905
1629114701.5258276,1.0,-0.32356464862823486
1629114701.5338979,1.0,-0.3618784725666046
1629114701.5418398,1.0,-0.43844940066337584
1629114701.5498385,1.0,-0.45760631263256074
1629114701.5577962,1.0,-0.5533341526985168
1629114701.5683448,1.0,-0.6299050807952881
1629114701.5743406,1.0,-0.6873191356658935
1629114701.5819666,1.0,-0.8022038877010346
1629114701.5901864,1.0,-0.8596745848655701
1629114701.5979202,1.0,-0.9170886397361756
1629114701.6061466,1.0,-1.0319733917713165
1629114701.6144023,1.0,-1.1468581438064576
1629114701.6218019,1.0,-1.2234290719032288
1629114701.6298347,1.0,-1.3
1629114701.6799433,1.0,-1.3
1629114701.7300565,1.0,-1.3
1629114701.786298,1.0,-1.3
1629114701.8302274,1.0,-1.3
1629114701.8803093,1.0,-1.3
1629114701.9310355,1.0,-1.3
1629114701.980498,1.0,-1.3
1629114702.0305212,1.0,-1.3
1629114702.0806274,1.0,-1.3
1629114702.085835,0.970615029335022,-1.3
1629114702.1019242,0.9411428570747375,-1.3
1629114702.1178234,0.9117143154144287,-1.3
1629114702.1260333,0.8822421431541443,-1.3
1629114702.1338413,0.8527699708938599,-1.3
1629114702.1425202,0.823341429233551,-1.3
1629114702.1498556,0.7938692569732666,-1.3
1629114702.157902,0.7643970847129822,-1.3
1629114702.2080147,0.7643970847129822,-1.3
1629114702.2581084,0.7643970847129822,-1.3
1629114702.3088937,0.7643970847129822,-1.3
1629114702.358391,0.7643970847129822,-1.3
1629114702.4084265,0.7643970847129822,-1.3
1629114702.4585278,0.7643970847129822,-1.3
1629114702.477939,0.7349685430526733,-1.3
1629114702.5281346,0.7349685430526733,-1.3
1629114702.533829,0.7054963707923889,-1.3
1629114702.5738125,0.6760678291320801,-1.3
1629114702.582012,0.6465956568717957,-1.3
1629114702.6319294,0.6465956568717957,-1.3
1629114702.6538792,0.6171234846115112,-1.3
1629114702.6780791,0.5876949429512024,-1.3
1629114702.7258227,0.558222770690918,-1.3
1629114702.7337983,0.5287505984306335,-1.3
1629114702.7418017,0.4993220567703247,-1.3
1629114702.791887,0.4993220567703247,-1.3
1629114702.8298473,0.4698498845100403,-1.3
1629114702.881306,0.44042134284973145,-1.3
1629114702.9279218,0.44042134284973145,-1.3
1629114702.9781876,0.44042134284973145,-1.3
1629114703.0060537,0.410949170589447,-1.3
1629114703.0559657,0.410949170589447,-1.3
1629114703.1062608,0.410949170589447,-1.3
1629114703.156115,0.410949170589447,-1.3
1629114703.189893,0.3814769983291626,-1.3
1629114703.2399423,0.3814769983291626,-1.3
1629114703.245848,0.35204845666885376,-1.3
1629114703.2699804,0.32257628440856934,-1.3
1629114703.309801,0.2931041121482849,-1.3
1629114703.3418033,0.2784116566181183,-1.3
1629114703.3497767,0.24893948435783386,-1.3
1629114703.3737988,0.21946732699871063,-1.3
1629114703.3818157,0.1900387555360794,-1.3
1629114703.3978217,0.16056659817695618,-1.3
1629114703.4059365,0.13109444081783295,-1.3
1629114703.4137683,0.10166587680578232,-1.3
1629114703.4218507,0.07219371199607849,-1.3
1629114703.4299405,0.04276515170931816,-1.3
1629114703.4381483,-0.0,-1.3
1629114703.4457567,-0.0,-1.3
1629114703.4779873,-0.0,-1.3
1629114703.4858553,-0.0,-1.3
1629114703.5360286,-0.0,-1.3
1629114703.5578668,-0.0,-1.3
1629114703.5978434,-0.0,-1.3
1629114703.6481292,-0.0,-1.3
1629114703.6699193,-0.0,-1.3
1629114703.7200963,-0.0,-1.3
1629114703.7701006,-0.0,-1.3
1629114703.8201153,-0.0,-1.3
1629114703.870292,-0.0,-1.3
1629114703.9202843,-0.0,-1.3
1629114703.9704473,-0.0,-1.3
1629114704.0204616,-0.0,-1.3
1629114704.0705252,-0.0,-1.3
1629114704.1206167,-0.0,-1.3
1629114704.1706624,-0.0,-1.3
1629114704.2209394,-0.0,-1.3
1629114704.2708237,-0.0,-1.3
1629114704.3210883,-0.0,-1.3
1629114704.3710804,-0.0,-1.3
1629114704.421106,-0.0,-1.3
1629114704.4712133,-0.0,-1.3
1629114704.5214326,-0.0,-1.3
1629114704.5722747,-0.0,-1.3
1629114704.621426,-0.0,-1.3
1629114704.6716123,-0.0,-1.3
1629114704.7216403,-0.0,-1.3
1629114704.771736,-0.0,-1.3
1629114704.8218677,-0.0,-1.3
1629114704.871937,-0.0,-1.3
1629114704.9219751,-0.0,-1.3
1629114704.972128,-0.0,-1.3
1629114705.022188,-0.0,-1.3
1629114705.0722728,-0.0,-1.3
1629114705.122399,-0.0,-1.3
1629114705.1724083,-0.0,-1.3
1629114705.2224996,-0.0,-1.3
1629114705.2726128,-0.0,-1.3
1629114705.3227675,-0.0,-1.3
1629114705.349959,-0.0,-1.3
1629114705.3578594,-0.0,-1.3
1629114705.3658166,-0.0,-1.3
1629114705.3819342,0.013292990624904633,-1.3
1629114705.405962,0.04276515170931816,-1.3
1629114705.413949,0.07219371199607849,-1.3
1629114705.4218843,0.10166587680578232,-1.3
1629114705.429878,0.13109444081783295,-1.3
1629114705.4378848,0.16056659817695618,-1.3
1629114705.4458294,0.1900387555360794,-1.3
1629114705.469937,0.21946732699871063,-1.3
1629114705.4858413,0.24893948435783386,-1.3
1629114705.4939296,0.2784116566181183,-1.3
1629114705.5098677,0.2931041121482849,-1.3
1629114705.5212781,0.32257628440856934,-1.3
1629114705.5258052,0.35204845666885376,-1.3
