time,v,omega
1627644974.051948,0.0,0.0
1627644974.062146,0.0,0.0
1627644974.0722857,0.0,0.0
1627644974.0824375,0.0,0.0
1627644974.0932055,0.0,0.0
1627644974.1027758,0.0,0.0
1627644974.112948,0.0,0.0
1627644974.1231701,0.0,0.0
1627644974.1333704,0.0,0.0
1627644974.14354,0.0,0.0
1627644974.1538098,0.0,0.0
1627644974.1639802,0.0,0.0
1627644974.1741266,0.0,0.0
1627644974.1844172,0.0,0.0
1627644974.1944304,0.0,0.0
1627644974.2046878,0.0,0.0
1627644974.214995,0.0,0.0
1627644974.225111,0.0,0.0
1627644974.2353146,0.0,0.0
1627644974.245547,0.0,0.0
1627644974.2557974,0.0,0.0
1627644974.265963,0.0,0.0
1627644974.2761924,0.0,0.0
1627644974.2864578,0.0,0.0
1627644974.296678,0.0,0.0
1627644974.3068213,0.0,0.0
1627644974.3169997,0.0,0.0
1627644974.3271992,0.0,0.0
1627644974.338367,0.0,0.0
1627644974.3476057,0.0,0.0
1627644974.3577614,0.0,0.0
1627644974.3679986,0.0,0.0
1627644974.378204,0.0,0.0
1627644974.3883662,0.0,0.0
1627644974.3986247,0.0,0.0
1627644974.408879,0.0,0.0
1627644974.419003,0.0,0.0
1627644974.4291177,0.0,0.0
1627644974.4393063,0.0,0.0
1627644974.4495687,0.0,0.0
1627644974.4602947,0.0,0.0
1627644974.4702966,0.0,0.0
1627644974.4804008,0.0,0.0
1627644974.4906526,0.0,0.0
1627644974.502415,0.0,0.0
1627644974.511037,0.0,0.0
1627644974.5212042,0.0,0.0
1627644974.531444,0.0,0.0
1627644974.5416899,0.0,0.0
1627644974.5517824,0.0,0.0
1627644974.561976,0.0,0.0
1627644974.5722573,0.0,0.0
1627644974.5824502,0.0,0.0
1627644974.5926108,0.0,0.0
1627644974.602762,0.0,0.0
1627644974.6129804,0.0,0.0
1627644974.6232574,0.0,0.0
1627644974.6335282,0.0,0.0
1627644974.6437292,0.0,0.0
1627644974.653939,0.0,0.0
1627644974.6641054,0.0,0.0
1627644974.6743262,0.0,0.0
1627644974.684474,0.0,0.0
1627644974.6947932,0.0,0.0
1627644974.7049308,0.0,0.0
1627644974.715135,0.0,0.0
1627644974.725361,0.0,0.0
1627644974.73554,0.0,0.0
1627644974.7456386,0.0,0.0
1627644974.7559314,0.0,0.0
1627644974.766019,0.0,0.0
1627644974.776138,0.0,0.0
1627644974.7863398,0.0,0.0
1627644974.7965014,0.0,0.0
