time,v,omega
1627644972.9950836,0.0,0.0
1627644976.679286,0.0,0.0
1627644976.7293756,0.0,0.0
1627644976.736343,-0.0,0.0
1627644976.7442951,-0.0,0.0
1627644976.7523932,-0.0,0.0
1627644976.760391,-0.0,0.0
1627644976.768265,-0.0,0.0
1627644976.7762856,-0.0,0.0
1627644976.784264,-0.0,0.0
1627644976.7923982,-0.0,0.0
1627644976.8003862,0.04276515170931816,0.0
1627644976.808342,0.16056659817695618,0.0
1627644976.816449,0.1900387555360794,0.0
1627644976.8243375,0.2784116566181183,0.0
1627644976.832339,0.3814769983291626,0.0
1627644976.8404124,0.410949170589447,0.0
1627644976.848387,0.44042134284973145,0.0
1627644976.8563051,0.4698498845100403,0.0
1627644976.8643467,0.558222770690918,0.0
1627644976.8723884,0.6171234846115112,0.0
1627644976.880381,0.7054963707923889,0.0
1627644976.8883588,0.7349685430526733,0.0
1627644976.8963392,0.8086053729057312,0.0
1627644976.9063492,0.8969782590866089,0.0
1627644976.912252,0.9558789730072021,0.0
1627644976.920288,1.0,0.0
1627644976.9363635,1.0,-0.0
1627644976.9443386,1.0,-0.0
1627644976.9522207,1.0,-0.0
1627644976.9603474,1.0,-0.0
1627644976.9683127,1.0,-0.0
1627644976.9763086,1.0,-0.0
1627644976.9843109,1.0,-0.0
1627644976.9923077,1.0,-0.0
1627644977.0003479,1.0,-0.0
1627644977.0082772,1.0,-0.0
1627644977.0164382,1.0,0.03643779251724482
1627644977.0323255,1.0,0.07469492331147194
1627644977.0483603,1.0,0.11300872787833215
1627644977.0563512,1.0,0.15132254213094712
1627644977.0723102,1.0,0.20873657763004302
1627644977.0883398,1.0,0.24705038219690323
1627644977.1122792,1.0,0.28530752509832386
1627644977.1202717,1.0,0.32362132966518403
1627644977.170439,1.0,0.32362132966518403
1627644977.2205255,1.0,0.32362132966518403
1627644977.2403324,1.0,0.15132254213094712
1627644977.2723682,1.0,0.11300872787833215
1627644977.2884355,1.0,0.07469492331147194
1627644977.2963023,1.0,0.03643779251724482
1627644977.3042502,1.0,-0.0
1627644977.3203726,1.0,-0.0
1627644977.3442948,1.0,-0.0
1627644977.3943684,1.0,-0.0
1627644977.4243333,1.0,-0.0
1627644977.440336,1.0,-0.0
1627644977.4643693,1.0,-0.0
1627644977.472367,1.0,-0.0
1627644977.48826,1.0,-0.0
1627644977.4963744,1.0,-0.0
1627644977.5123012,1.0,-0.0
1627644977.5524023,1.0,-0.0
1627644977.5602753,1.0,-0.0
1627644977.6104674,1.0,-0.0
1627644977.6163793,1.0,-0.0
1627644977.6664402,1.0,-0.0
1627644977.716541,1.0,-0.0
1627644977.7666194,1.0,-0.0
1627644977.8167193,1.0,-0.0
1627644977.8483758,1.0,-0.0
1627644977.8643804,1.0,-0.0
1627644977.8804126,1.0,-0.0
1627644977.8883283,1.0,-0.0
1627644977.8964334,1.0,-0.0
1627644977.9043121,1.0,-0.0
1627644977.9123096,1.0,-0.0
1627644977.9204116,1.0,-0.0
1627644977.9283843,1.0,-0.0
1627644977.9363315,1.0,0.03643779251724482
1627644977.9444308,1.0,0.07469492331147194
1627644977.95231,1.0,0.11300872787833215
1627644977.9604223,1.0,0.15132254213094712
1627644977.9684343,1.0,0.20873657763004302
1627644977.9762719,1.0,0.24705038219690323
1627644977.9843202,1.0,0.28530752509832386
1627644978.0003302,1.0,0.32362132966518403
1627644978.050473,1.0,0.32362132966518403
1627644978.1004772,1.0,0.32362132966518403
1627644978.1043246,1.0,0.36193515360355377
1627644978.154457,1.0,0.36193515360355377
1627644978.2045,1.0,0.36193515360355377
1627644978.2242901,1.0,0.41934916973114017
1627644978.232256,1.0,0.4576629936695099
1627644978.240347,1.0,0.4959200978279114
1627644978.2643204,1.0,0.5342339217662812
1627644978.2803557,1.0,0.572547745704651
1627644978.2963376,1.0,0.6299617618322373
1627644978.3363883,1.0,0.668275547027588
1627644978.3443034,1.0,0.7065327286720277
1627644978.3763232,1.0,0.7448464751243592
1627644978.3923764,1.0,0.7831602990627289
1627644978.4083552,1.0,0.8405743539333344
1627644978.416489,1.0,0.8788881778717041
1627644978.4323306,1.0,0.9171452820301056
1627644978.4803581,1.0,0.9554591059684754
1627644978.5303912,1.0,0.9554591059684754
1627644978.5805337,1.0,0.9554591059684754
1627644978.6306639,1.0,0.9554591059684754
1627644978.6807282,1.0,0.9554591059684754
1627644978.7308123,1.0,0.9554591059684754
1627644978.7808487,1.0,0.9554591059684754
1627644978.8310187,1.0,0.9554591059684754
1627644978.8810833,1.0,0.9554591059684754
1627644978.9283357,1.0,0.9937162101268768
1627644978.9523647,1.0,1.0511869847774507
1627644978.9683225,1.0,1.0895007312297822
1627644978.9843156,1.0,1.127757912874222
1627644979.008283,1.0,1.1660717368125917
1627644979.0163317,1.0,1.2043288409709931
1627644979.0643954,1.0,1.2617995381355287
1627644979.1043334,1.0,1.3
1627644979.1544085,1.0,1.3
1627644979.204534,1.0,1.3
1627644979.2546232,1.0,1.3
1627644979.3047085,1.0,1.3
1627644979.3550754,1.0,1.3
1627644979.4050233,1.0,1.3
1627644979.4550302,1.0,1.3
1627644979.5050876,1.0,1.3
1627644979.555167,1.0,1.3
1627644979.6052709,1.0,1.3
1627644979.6553624,1.0,1.3
1627644979.7054331,1.0,1.3
1627644979.755645,1.0,1.3
1627644979.8056664,1.0,1.3
1627644979.8557317,1.0,1.3
1627644979.905869,1.0,1.3
1627644979.9559436,1.0,1.3
1627644980.0060167,1.0,1.3
1627644980.0560887,1.0,1.3
1627644980.1062617,1.0,1.3
1627644980.1563182,1.0,1.3
1627644980.20645,1.0,1.3
1627644980.2565212,1.0,1.3
1627644980.306594,1.0,1.3
1627644980.356976,1.0,1.3
1627644980.4067118,1.0,1.3
1627644980.4568427,1.0,1.3
1627644980.5069253,1.0,1.3
1627644980.5570292,1.0,1.3
1627644980.6070826,1.0,1.3
1627644980.6571105,1.0,1.3
1627644980.707206,1.0,1.3
1627644980.7573302,1.0,1.3
1627644980.8074622,1.0,1.3
1627644980.8575063,1.0,1.3
1627644980.9076047,1.0,1.3
1627644980.9577527,1.0,1.3
1627644981.0078053,1.0,1.3
1627644981.0579152,1.0,1.3
1627644981.10797,1.0,1.3
1627644981.1582184,1.0,1.3
1627644981.2082,1.0,1.3
