time,v,omega
1627645130.7841954,0.0,0.0
1627645130.8099701,0.0,0.0
1627645130.8588355,0.0,0.0
1627645130.8779838,0.0,0.0
1627645130.9313102,0.0,0.0
1627645130.9507244,0.0,0.0
1627645131.0017228,0.0,0.0
1627645131.0260987,0.0,0.0
1627645131.082319,0.0,0.0
1627645131.1273637,0.0,0.0
1627645131.1764908,0.0,0.0
1627645131.2209232,0.0,0.0
1627645131.2410774,0.0,0.0
1627645131.2899125,0.0,0.0
1627645131.3117704,0.0,0.0
1627645131.3624856,0.0,0.0
1627645131.4082236,0.0,0.0
1627645131.4237,0.0,0.0
1627645131.4754777,0.0,0.0
1627645131.4961634,0.0,0.0
1627645131.5459263,0.0,0.0
1627645131.5903163,0.0,0.0
1627645131.6433885,0.0,0.0
1627645131.6885357,0.0,0.0
1627645131.7037585,0.0,0.0
1627645131.752924,0.0,0.0
1627645131.7727683,0.0,0.0
1627645131.8241918,0.0,0.0
1627645131.8688388,0.0,0.0
1627645131.8843474,0.0,0.0
1627645131.9345884,0.0,0.0
1627645131.9550848,0.0,0.0
1627645132.0059526,0.0,0.0
1627645132.0538793,0.0,0.0
1627645132.0709033,0.0,0.0
1627645132.1211255,0.0,0.0
1627645132.1411142,0.0,0.0
1627645132.192401,0.0,0.0
1627645132.2383807,0.0,0.0
1627645132.2560387,0.0,0.0
1627645132.3053582,0.0,0.0
1627645132.3249428,0.0,0.0
1627645132.3742142,0.0,0.0
1627645132.4184964,0.0,0.0
1627645132.4415684,0.0,0.0
1627645132.4859667,0.0,0.0
1627645132.5054522,0.0,0.0
1627645132.5546908,0.0,0.0
1627645132.597953,0.0,0.0
1627645132.6130724,0.0,0.0
1627645132.6656973,0.0,0.0
1627645132.6918533,0.0,0.0
1627645132.7406063,0.0,0.0
1627645132.7849956,0.0,0.0
1627645132.8355424,0.0,0.0
1627645132.8845024,0.0,0.0
1627645132.9322007,0.0,0.0
1627645132.9814231,0.0,0.0
1627645133.03039,0.0,0.0
1627645133.0811157,0.0,0.0
1627645133.129725,0.0,0.0
1627645133.1738267,0.0,0.0
1627645133.2233875,0.0,0.0
1627645133.2714458,0.0,0.0
1627645133.287034,0.0,0.0
1627645133.335706,0.0,0.0
1627645133.3812773,0.0,0.0
1627645133.4303422,0.0,0.0
1627645133.450546,0.0,0.0
1627645133.4992292,0.0,0.0
1627645133.5289524,0.0,0.0
1627645133.5782075,0.0,0.0
1627645133.6233683,0.0,0.0
1627645133.6754413,0.0,0.0
1627645133.719664,0.0,0.0
1627645133.7389522,0.0,0.0
1627645133.7872524,0.0,0.0
1627645133.8120496,0.0,0.0
1627645133.8608618,0.0,0.0
1627645133.9053493,0.0,0.0
1627645133.9541354,0.0,0.0
1627645133.9977252,0.0,0.0
1627645134.0141497,0.0,0.0
1627645134.0690308,0.0,0.0
1627645134.1136608,0.0,0.0
1627645134.1286452,0.0,0.0
1627645134.1993978,0.0,0.0
1627645134.2261827,0.0,0.0
1627645134.2861505,0.0,0.0
1627645134.310857,0.0,0.0
1627645134.3607535,0.0,0.0
1627645134.4053342,0.0,0.0
1627645134.4263418,0.0,0.0
1627645134.4700243,0.0,0.0
1627645134.4952948,0.0,0.0
1627645134.5439646,0.0,0.0
1627645134.589557,0.0,0.0
1627645134.6038318,0.0,0.0
1627645134.6561244,0.0,0.0
1627645134.6798496,0.0,0.0
