time,v,omega
1627645130.747283,1.0,-0.0
1627645130.7751133,1.0,-0.0
1627645130.8252957,1.0,-0.0
1627645130.875388,1.0,-0.0
1627645130.9257653,1.0,-0.0
1627645130.9756782,1.0,-0.0
1627645131.0259423,1.0,-0.0
1627645131.0759404,1.0,-0.0
1627645131.1259813,1.0,-0.0
1627645131.1760406,1.0,-0.0
1627645131.2260847,1.0,-0.0
1627645131.2761867,1.0,-0.0
1627645131.2794735,0.0,0.0
1627645132.2555609,1.0,-0.0
1627645132.3055317,1.0,-0.0
1627645132.3556302,1.0,-0.0
1627645132.4057186,1.0,-0.0
1627645132.4558423,1.0,-0.0
1627645132.5059505,1.0,-0.0
1627645132.5559893,1.0,-0.0
1627645132.60611,1.0,-0.0
1627645132.656196,1.0,-0.0
1627645132.7062583,1.0,-0.0
1627645132.75633,1.0,-0.0
1627645132.7618494,0.0,0.0
1627645132.9194984,1.0,-0.0
1627645132.9695373,1.0,-0.0
1627645133.019587,1.0,-0.0
1627645133.0696566,1.0,-0.0
1627645133.1198027,1.0,-0.0
1627645133.169859,1.0,-0.0
1627645133.2199178,1.0,-0.0
1627645133.2700353,1.0,-0.0
1627645133.320141,1.0,-0.0
1627645133.3702536,1.0,-0.0
1627645133.4166417,1.0,-0.0
1627645133.4246047,1.0,-0.0
1627645133.43247,1.0,-0.0
1627645133.4404845,1.0,-0.0
1627645133.448628,1.0,-0.0
1627645133.4564617,1.0,-0.0
1627645133.464504,1.0,-0.0
1627645133.4724588,1.0,-0.0
1627645133.480482,1.0,-0.0
1627645133.4886022,1.0,0.07469492331147194
1627645133.496498,1.0,0.11300872787833215
1627645133.5045316,1.0,0.18957966566085815
1627645133.5125003,1.0,0.2662072941660881
1627645133.5204957,1.0,0.30446441769599913
1627645133.528569,1.0,0.438506081700325
1627645133.536549,1.0,0.5150770097970963
1627645133.5444717,1.0,0.5916479378938675
1627645133.5525074,1.0,0.668275547027588
1627645133.560623,1.0,0.7831602990627289
1627645133.5685227,1.0,0.8214174807071686
1627645133.5764766,1.0,0.9554591059684754
1627645133.584533,1.0,1.0320300340652466
1627645133.5924985,1.0,1.1086009621620179
1627645133.6005154,1.0,1.1852286100387575
1627645133.608531,1.0,1.223485714197159
1627645133.6164746,1.0,1.3
1627645133.666608,1.0,1.3
1627645133.716656,1.0,1.3
1627645133.7667532,1.0,1.3
1627645133.8169153,1.0,1.3
1627645133.866993,1.0,1.3
1627645133.916931,1.0,1.3
1627645133.9671872,1.0,1.3
1627645134.0171459,1.0,1.3
1627645134.0672526,1.0,1.3
1627645134.1174004,1.0,1.3
1627645134.1675098,1.0,1.3
1627645134.2176127,1.0,1.3
1627645134.267626,1.0,1.3
1627645134.3177147,1.0,1.3
1627645134.3678637,1.0,1.3
1627645134.41792,1.0,1.3
1627645134.4263127,0.9853510856628418,1.3
1627645134.4325907,0.9558789730072021,1.3
1627645134.4404428,0.9264068007469177,1.3
1627645134.4484637,0.8675060868263245,1.3
1627645134.4564693,0.8380774855613708,1.3
1627645134.4645433,0.7349685430526733,1.3
1627645134.4724982,0.7054963707923889,1.3
1627645134.4804537,0.6760678291320801,1.3
1627645134.4886365,0.6465956568717957,1.3
1627645134.5045211,0.6171234846115112,1.3
1627645134.5125284,0.5876949429512024,1.3
1627645134.5205104,0.558222770690918,1.3
1627645134.5285027,0.5287505984306335,1.3
1627645134.5444946,0.4993220567703247,1.3
1627645134.5946116,0.4993220567703247,1.3
1627645134.644715,0.4993220567703247,1.3
1627645134.694868,0.4993220567703247,1.3
1627645134.7448704,0.4993220567703247,1.3
1627645134.79498,0.4993220567703247,1.3
1627645134.8450787,0.4993220567703247,1.3
1627645134.895172,0.4993220567703247,1.3
1627645134.9452436,0.4993220567703247,1.3
1627645134.995316,0.4993220567703247,1.3
1627645135.0453115,0.4993220567703247,1.3
1627645135.0955532,0.4993220567703247,1.3
1627645135.1455152,0.4993220567703247,1.3
1627645135.1956363,0.4993220567703247,1.3
1627645135.2457173,0.4993220567703247,1.3
1627645135.2958093,0.4993220567703247,1.3
1627645135.345859,0.4993220567703247,1.3
1627645135.3925183,0.6171234846115112,1.3
1627645135.4084518,0.6465956568717957,1.3
