time,v,omega
1629116351.5385609,0.0,0.0
1629116351.5845623,0.0,0.0
1629116351.6333568,0.0,0.0
1629116351.6853683,0.0,0.0
1629116351.7331638,0.0,0.0
1629116351.7646594,0.0,0.0
1629116351.8463824,0.0,0.0
1629116351.8902128,0.0,0.0
1629116351.936961,0.0,0.0
1629116351.9787912,0.0,0.0
1629116352.002588,0.0,0.0
1629116352.0476947,0.0,0.0
1629116352.0610802,0.0,0.0
1629116352.107738,0.0,0.0
1629116352.1525614,0.0,0.0
1629116352.1711369,0.0,0.0
1629116352.2160952,0.0,0.0
1629116352.2390785,0.0,0.0
1629116352.2846334,0.0,0.0
1629116352.325886,0.0,0.0
1629116352.343987,0.0,0.0
1629116352.391075,0.0,0.0
1629116352.4369624,0.0,0.0
1629116352.4827266,0.0,0.0
1629116352.5241952,0.0,0.0
1629116352.5422761,0.0,0.0
1629116352.590463,0.0,0.0
1629116352.6381824,0.0,0.0
1629116352.6859095,0.0,0.0
1629116352.72866,0.0,0.0
1629116352.746266,0.0,0.0
1629116352.793076,0.0,0.0
1629116352.8156874,0.0,0.0
1629116352.862795,0.0,0.0
1629116352.8996773,0.0,0.0
1629116352.918896,0.0,0.0
1629116352.9651136,0.0,0.0
1629116353.0121837,0.0,0.0
1629116353.0269165,0.0,0.0
1629116353.0722296,0.0,0.0
1629116353.1032126,0.0,0.0
1629116353.1517138,0.0,0.0
1629116353.1935496,0.0,0.0
1629116353.2124228,0.0,0.0
1629116353.2620354,0.0,0.0
1629116353.3037639,0.0,0.0
1629116353.3234828,0.0,0.0
1629116353.3682027,0.0,0.0
1629116353.4057539,0.0,0.0
1629116353.4282758,0.0,0.0
1629116353.4710891,0.0,0.0
1629116353.4941735,0.0,0.0
1629116353.541628,0.0,0.0
1629116353.5877712,0.0,0.0
1629116353.6010876,0.0,0.0
1629116353.647979,0.0,0.0
1629116353.6944513,0.0,0.0
1629116353.7082577,0.0,0.0
1629116353.7557154,0.0,0.0
1629116353.7967405,0.0,0.0
1629116353.8452146,0.0,0.0
